"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Analcime(Si-Al_is_2.5)-Zeo19","analcite","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","analcite","analcite","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19"
"calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite"
"celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celadoni","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celadoni","celadoni","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celadoni"
"celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","Chabazite-Zeo19"
"Chabazite-Zeo19","Chabazite-Zeo19","heulandi","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","heulandi","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","heulandi","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","heulandi","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","heulandi","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19"
"Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","montm-Na","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","montm-Na","phlogopi","heulandi","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","montm-Na","Heulandite(Ca)-Zeo19","heulandi","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","stilbite","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","montm-Ca","Heulandite(Na)-Zeo19","heulandi","Stilbite(CaNa)-Zeo19","heulandi","Heulandite(Na)-Zeo19","montm-Na","Heulandite(Na)-Zeo19","montm-K","Heulandite(Ca)-Zeo19","montm-K","Heulandite(CaKNa)-Zeo19","heulandi","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","montm-Ca","montm-K","Heulandite(Ca)-Zeo19","Heulandite(Na)-Zeo19","montm-K","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Ca)-Zeo19","heulandi","heulandi","Stilbite(CaKNa)-Zeo19","heulandi","montm-Na","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","montm-Na","montm-Ca","montm-K","montm-K","montm-Na","Heulandite(Na)-Zeo19","heulandi","Heulandite(Ca)-Zeo19","montm-K","montm-Na","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","montm-K","montm-Na","montm-Na","heulandi","Heulandite(Ca)-Zeo19","heulandi","heulandi","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","montm-Na","heulandi","heulandi","Heulandite(Ca)-Zeo19","montm-Ca","montm-Na","Heulandite(CaKNa)-Zeo19","montm-Ca","montm-K","Heulandite(Na)-Zeo19","montm-Na","Heulandite(Na)-Zeo19","Heulandite(Na)-Zeo19","montm-Na","montm-Na","heulandi","sepiolit","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","phlogopi","Heulandite(CaKNa)-Zeo19","heulandi","heulandi","montm-Ca","Heulandite(Na)-Zeo19","montm-Ca"
"stilbite","Stilbite(CaKNa)-Zeo19","sepiolit","montm-Na","montm-K","stilbite","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","stilbite","montm-Na","sepiolit","Stilbite(CaKNa)-Zeo19","montm-Na","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","montm-Ca","talc-Tsc","montm-K","montm-K","sepiolit","montm-K","montm-Ca","","montm-K","phlogopi","sepiolit","phlog-Na","phlogopi","phlog-Na","Stilbite(CaNa)-Zeo19","montm-Ca","montm-Na","montm-Na","montm-K","sepiolit","phlogopi","montm-K","montm-K","phlogopi","sepiolit","montm-Na","Stilbite(CaNa)-Zeo19","montm-Ca","montm-K","Stilbite(CaNa)-Zeo19","talc-Tsc","montm-Na","stilbite","Stilbite(CaKNa)-Zeo19","montm-Ca","phlog-Na","phlog-Na","sepiolit","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","montm-K","stilbite","montm-Ca","sepiolit","stilbite","Stilbite(CaNa)-Zeo19","montm-K","Stilbite(CaNa)-Zeo19","phlog-Na","sepiolit","montm-K","montm-Na","phlog-Na","montm-Na","sepiolit","montm-Na","montm-Na","Stilbite(CaNa)-Zeo19","montm-Ca","Stilbite(CaKNa)-Zeo19","montm-K","sepiolit","sepiolit","montm-Ca","sepiolit","sepiolit","Stilbite(CaKNa)-Zeo19","phlog-Na","Stilbite(CaKNa)-Zeo19","phlog-Na","phlogopi","phlogopi","phlog-Na","Stilbite(CaNa)-Zeo19","montm-Na","montm-Ca","Stilbite(CaKNa)-Zeo19","phlogopi","Stilbite(CaNa)-Zeo19","montm-Na","montm-Na","montm-K","phlog-Na","montm-K","phlog-Na"
"","talc","stilbite","phlogopi","Stilbite(CaNa)-Zeo19","talc","talc","Thomsonite-Zeo19","talc","phlogopi","Stilbite(CaNa)-Zeo19","talc","stilbite","talc-Tsc","","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","phlogopi","phlogopi","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","","phlog-Na","Stilbite(CaNa)-Zeo19","stilbite","stilbite","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","talc","Stilbite(CaKNa)-Zeo19","phlog-Na","sepiolit","phlogopi","Stilbite(CaNa)-Zeo19","stilbite","Stilbite(CaKNa)-Zeo19","stilbite","stilbite","Stilbite(CaKNa)-Zeo19","sepiolit","talc","phlog-Na","stilbite","talc","Thomsonite-Zeo19","stilbite","talc","","sepiolit","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","stilbite","talc","talc","Stilbite(CaKNa)-Zeo19","talc","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","talc-Tsc","","Stilbite(CaKNa)-Zeo19","talc-Tsc","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","phlog-Na","stilbite","stilbite","Stilbite(CaNa)-Zeo19","phlog-Na","phlogopi","","Stilbite(CaNa)-Zeo19","talc-Tsc","sepiolit","stilbite","Stilbite(CaKNa)-Zeo19","phlogopi","stilbite","Stilbite(CaNa)-Zeo19","talc","Stilbite(CaNa)-Zeo19","talc","stilbite","stilbite","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","talc","Stilbite(CaKNa)-Zeo19","stilbite","talc-Tsc","stilbite","talc","phlog-Na","phlogopi","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19"
"","Thomsonite-Zeo19","talc","Stilbite(CaNa)-Zeo19","talc-Tsc","","talc-Tsc","","talc-Tsc","Stilbite(CaNa)-Zeo19","talc","","talc","Thomsonite-Zeo19","","Thomsonite-Zeo19","","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","talc","talc","talc-Tsc","","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","talc-Tsc","talc","talc","talc","talc-Tsc","talc","Stilbite(CaKNa)-Zeo19","stilbite","Stilbite(CaNa)-Zeo19","talc","talc","talc","","talc-Tsc","talc","stilbite","","Stilbite(CaKNa)-Zeo19","talc-Tsc","","","","talc-Tsc","","stilbite","talc-Tsc","talc","talc","talc-Tsc","talc-Tsc","talc","Thomsonite-Zeo19","talc","talc","","","talc","Thomsonite-Zeo19","talc","talc","talc-Tsc","Stilbite(CaKNa)-Zeo19","","talc","talc-Tsc","Stilbite(CaNa)-Zeo19","stilbite","","talc-Tsc","Thomsonite-Zeo19","Stilbite(CaKNa)-Zeo19","talc","talc","Stilbite(CaNa)-Zeo19","talc","talc","talc-Tsc","talc","","Thomsonite-Zeo19","talc","talc","","talc-Tsc","talc","talc-Tsc","Thomsonite-Zeo19","talc","","stilbite","stilbite","Thomsonite-Zeo19","talc","talc-Tsc","talc"
"","","Thomsonite-Zeo19","talc","Thomsonite-Zeo19","","","","Thomsonite-Zeo19","Thomsonite-Zeo19","","","talc-Tsc","","","","","talc-Tsc","Thomsonite-Zeo19","","talc-Tsc","Thomsonite-Zeo19","","","","Thomsonite-Zeo19","","talc-Tsc","","","talc-Tsc","talc","","","","","talc-Tsc","","","Thomsonite-Zeo19","talc-Tsc","","","","","","","Thomsonite-Zeo19","","Thomsonite-Zeo19","","","talc-Tsc","Thomsonite-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19","","","talc-Tsc","","","","","talc-Tsc","talc-Tsc","","Thomsonite-Zeo19","","","Thomsonite-Zeo19","","talc-Tsc","","Thomsonite-Zeo19","","","talc-Tsc","talc-Tsc","","Thomsonite-Zeo19","","","talc-Tsc","","","Thomsonite-Zeo19","talc-Tsc","","Thomsonite-Zeo19","Thomsonite-Zeo19","","","Thomsonite-Zeo19","","Thomsonite-Zeo19","talc-Tsc","","","","talc-Tsc"
