"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","analcite","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","analcite","Analcime(Si-Al_is_2.0)-Zeo19"
"calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite"
"celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celadoni","celadoni","celad-Fe","celadoni","celadoni","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celadoni","celad-Fe","celadoni","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celadoni","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celadoni","celadoni","celadoni","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celadoni","celad-Fe","celadoni","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni","celad-Fe","celadoni","celad-Fe","celad-Fe","celadoni","celadoni","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celad-Fe","celadoni"
"celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19","celadoni","Chabazite-Zeo19","celadoni","celadoni","Chabazite-Zeo19","Chabazite-Zeo19","celadoni","celadoni","celadoni","celadoni","celadoni","celadoni","Chabazite-Zeo19"
"Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","heulandi","heulandi","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","heulandi","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","heulandi","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","heulandi","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","heulandi","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","heulandi","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","heulandi","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","heulandi","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","heulandi","heulandi","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","heulandi","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","heulandi","Chabazite-Zeo19","heulandi","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19"
"Heulandite(CaKNa)-Zeo19","heulandi","Heulandite(CaKNa)-Zeo19","montm-K","Heulandite(CaKNa)-Zeo19","montm-Ca","montm-K","montm-K","Heulandite(Ca)-Zeo19","montm-Ca","montm-Ca","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","montm-K","heulandi","Heulandite(CaKNa)-Zeo19","montm-Ca","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","stilbite","montm-Ca","montm-Ca","heulandi","montm-Na","montm-K","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","montm-Ca","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","montm-K","heulandi","sepiolit","heulandi","montm-K","Heulandite(CaKNa)-Zeo19","montm-Ca","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","heulandi","Heulandite(Ca)-Zeo19","montm-Ca","montm-Na","Heulandite(CaKNa)-Zeo19","heulandi","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","montm-Na","stilbite","heulandi","montm-K","montm-Na","montm-K","heulandi","montm-K","montm-Na","montm-Na","montm-Ca","heulandi","montm-K","montm-Na","heulandi","Stilbite(CaNa)-Zeo19","montm-Na","Heulandite(CaKNa)-Zeo19","montm-Ca","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","montm-K","montm-Na","Stilbite(CaNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","montm-Ca","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","heulandi","montm-K","Heulandite(CaKNa)-Zeo19","montm-Na","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","montm-Na","montm-K","Heulandite(CaKNa)-Zeo19","heulandi","heulandi","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","montm-Ca"
"montm-K","montm-Ca","montm-Ca","Stilbite(CaNa)-Zeo19","montm-Na","Stilbite(CaNa)-Zeo19","stilbite","phlog-Na","montm-Ca","phlog-Na","phlog-Na","stilbite","montm-Ca","montm-K","montm-Na","stilbite","montm-K","montm-K","Stilbite(CaNa)-Zeo19","montm-K","montm-K","talc","Stilbite(CaNa)-Zeo19","phlog-Na","montm-K","phlogopi","phlogopi","phlogopi","phlogopi","montm-K","phlog-Na","montm-Ca","montm-K","montm-Ca","montm-Ca","phlog-Na","montm-Na","stilbite","stilbite","sepiolit","Stilbite(CaNa)-Zeo19","stilbite","montm-Ca","sepiolit","montm-Ca","montm-Na","phlogopi","Stilbite(CaNa)-Zeo19","montm-Ca","montm-Na","montm-Ca","sepiolit","montm-K","Stilbite(CaNa)-Zeo19","talc-Tsc","sepiolit","phlogopi","sepiolit","phlogopi","stilbite","phlogopi","stilbite","phlogopi","phlogopi","montm-K","phlog-Na","phlogopi","montm-Ca","","phlogopi","Stilbite(CaNa)-Zeo19","stilbite","montm-K","montm-Ca","montm-K","montm-Na","phlog-Na","phlog-Na","talc","Stilbite(CaNa)-Zeo19","talc","Stilbite(CaNa)-Zeo19","phlogopi","montm-Ca","montm-Ca","montm-Ca","phlogopi","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","montm-Na","montm-Ca","phlog-Na","Stilbite(CaNa)-Zeo19","phlogopi","montm-Na","montm-Na","sepiolit","stilbite","phlog-Na","phlogopi"
"phlog-Na","phlogopi","sepiolit","Thomsonite-Zeo19","sepiolit","talc","talc-Tsc","Stilbite(CaNa)-Zeo19","phlogopi","stilbite","Stilbite(CaNa)-Zeo19","talc","sepiolit","phlogopi","Stilbite(CaNa)-Zeo19","","phlog-Na","phlogopi","talc","Stilbite(CaNa)-Zeo19","phlogopi","talc-Tsc","talc","stilbite","sepiolit","stilbite","stilbite","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","sepiolit","Stilbite(CaNa)-Zeo19","sepiolit","stilbite","stilbite","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","phlogopi","talc-Tsc","talc-Tsc","Stilbite(CaNa)-Zeo19","talc","talc","phlogopi","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","sepiolit","Stilbite(CaNa)-Zeo19","talc","phlog-Na","phlog-Na","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","stilbite","talc","","Stilbite(CaNa)-Zeo19","stilbite","Stilbite(CaNa)-Zeo19","stilbite","talc","stilbite","talc","Stilbite(CaNa)-Zeo19","stilbite","stilbite","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","","stilbite","talc","talc-Tsc","Stilbite(CaNa)-Zeo19","phlogopi","phlog-Na","sepiolit","Stilbite(CaNa)-Zeo19","stilbite","talc-Tsc","talc-Tsc","talc-Tsc","","Stilbite(CaNa)-Zeo19","sepiolit","sepiolit","phlogopi","stilbite","talc","talc-Tsc","Stilbite(CaNa)-Zeo19","phlog-Na","Stilbite(CaNa)-Zeo19","talc-Tsc","Stilbite(CaNa)-Zeo19","stilbite","stilbite","Stilbite(CaNa)-Zeo19","talc-Tsc","stilbite","stilbite"
"Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","stilbite","","Stilbite(CaNa)-Zeo19","talc-Tsc","","talc","Stilbite(CaNa)-Zeo19","talc-Tsc","talc","talc-Tsc","stilbite","Stilbite(CaNa)-Zeo19","talc","","stilbite","stilbite","talc-Tsc","talc","stilbite","","talc-Tsc","talc","Stilbite(CaNa)-Zeo19","talc","talc-Tsc","talc","Thomsonite-Zeo19","stilbite","","Stilbite(CaNa)-Zeo19","talc-Tsc","talc-Tsc","talc","talc","stilbite","","Thomsonite-Zeo19","talc","","talc-Tsc","Stilbite(CaNa)-Zeo19","talc","talc-Tsc","stilbite","talc","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","stilbite","talc-Tsc","talc","talc","talc-Tsc","","talc-Tsc","talc-Tsc","talc","talc","talc-Tsc","talc","Thomsonite-Zeo19","talc","talc","talc","","talc","talc","","talc","talc-Tsc","Thomsonite-Zeo19","talc-Tsc","stilbite","stilbite","Stilbite(CaNa)-Zeo19","talc","talc","","Thomsonite-Zeo19","Thomsonite-Zeo19","","","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","stilbite","talc","talc-Tsc","","","Stilbite(CaNa)-Zeo19","talc","","talc","Thomsonite-Zeo19","talc-Tsc","talc","","talc","Thomsonite-Zeo19"
"talc-Tsc","talc","","","","Thomsonite-Zeo19","","talc-Tsc","","Thomsonite-Zeo19","","Thomsonite-Zeo19","","talc","talc-Tsc","","talc","talc-Tsc","Thomsonite-Zeo19","talc-Tsc","","","Thomsonite-Zeo19","Thomsonite-Zeo19","","talc-Tsc","Thomsonite-Zeo19","talc-Tsc","","Thomsonite-Zeo19","","talc-Tsc","","Thomsonite-Zeo19","","talc-Tsc","","","","Thomsonite-Zeo19","","Thomsonite-Zeo19","talc","talc-Tsc","","talc","","","","Thomsonite-Zeo19","","","","","","","Thomsonite-Zeo19","talc-Tsc","","","talc-Tsc","","","talc-Tsc","talc-Tsc","","talc-Tsc","Thomsonite-Zeo19","","","","","Thomsonite-Zeo19","Thomsonite-Zeo19","talc","talc","","","","","","","","Thomsonite-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19","talc-Tsc","","","","talc-Tsc","talc-Tsc","","Thomsonite-Zeo19","","Thomsonite-Zeo19","Thomsonite-Zeo19","","Thomsonite-Zeo19",""
