"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19"
"Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite"
"Celadonite","Celadonite","Chabazite","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Chabazite","Celadonite","Chabazite","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite","Celadonite","Celadonite","Chabazite","Celadonite","Celadonite","Chabazite","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite","Celadonite","Celadonite","Chabazite-Zeo19","Chabazite","Celadonite","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite","Chabazite","Celadonite","Chabazite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite","Celadonite","Chabazite","Chabazite","Chabazite","Chabazite","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite","Chabazite","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite","Chabazite-Zeo19","Celadonite","Chabazite","Celadonite","Celadonite","Celadonite","Chabazite","Chabazite","Celadonite","Chabazite-Zeo19","Chabazite","Celadonite","Chabazite","Celadonite","Chabazite","Chabazite","Celadonite","Celadonite","Celadonite"
"Chabazite-Zeo19","Chabazite","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Ferroaluminoceladonite","Ferroaluminoceladonite","Ferroaluminoceladonite","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Ferroaluminoceladonite","Ferroaluminoceladonite","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite","Heulandite(Na)-Zeo19","Chabazite","Chabazite","Heulandite","Heulandite(Na)-Zeo19","Heulandite","Heulandite","Ferroaluminoceladonite","Ferroaluminoceladonite","Heulandite(Ca)-Zeo19","Ferroaluminoceladonite","Chabazite","Ferroaluminoceladonite","Ferroaluminoceladonite","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Ferroaluminoceladonite","Chabazite-Zeo19","Ferroaluminoceladonite","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite","Chabazite","Ferroaluminoceladonite","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Ferroaluminoceladonite","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite","Chabazite","Heulandite","Chabazite-Zeo19","Chabazite-Zeo19","Ferroaluminoceladonite","Chabazite","Ferroaluminoceladonite","Chabazite-Zeo19","Chabazite","Ferroaluminoceladonite","Chabazite-Zeo19","Chabazite-Zeo19","Ferroaluminoceladonite","Chabazite","Ferroaluminoceladonite","Heulandite(CaKNa)-Zeo19","Heulandite","Heulandite(Na)-Zeo19","Chabazite","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite","Ferroaluminoceladonite","Chabazite","Heulandite(Na)-Zeo19","Heulandite","Chabazite","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Ferroaluminoceladonite","Ferroaluminoceladonite","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Na)-Zeo19","Chabazite","Heulandite(Na)-Zeo19","Chabazite","Heulandite(CaKNa)-Zeo19","Ferroaluminoceladonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite"
"Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Phillipsite(KNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Phillipsite(K)-Zeo19","Palygorskite","Phillipsite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Ripidolite-14A","Smectite-high-Fe-Mg","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Ripidolite-14A","Heulandite(Na)-Zeo19","Heulandite(Na)-Zeo19","Saponite-K","Ferroaluminoceladonite","Heulandite(Na)-Zeo19","Palygorskite","Palygorskite","Palygorskite","Phillipsite(K)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Na)-Zeo19","Saponite-K","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite","Heulandite(CaKNa)-Zeo19","Palygorskite","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Na)-Zeo19","Phillipsite(K)-Zeo19","Phillipsite(Ca)-Zeo19","Palygorskite","Heulandite(Na)-Zeo19","Phillipsite","Heulandite","Heulandite","Heulandite(Na)-Zeo19","Palygorskite","Phillipsite(KNa)-Zeo19","Palygorskite","Heulandite","Ferroaluminoceladonite","Phillipsite(Na)-Zeo19","Saponite-Ca","Heulandite","Phillipsite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite","Heulandite(CaKNa)-Zeo19","Ferroaluminoceladonite","Heulandite","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Ripidolite-7A","Smectite-high-Fe-Mg","Palygorskite","Heulandite(Na)-Zeo19","Palygorskite","Heulandite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Ripidolite-14A","Heulandite","Phillipsite","Heulandite","Heulandite(Na)-Zeo19","Palygorskite","Palygorskite","Ferroaluminoceladonite","Palygorskite","Heulandite","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Palygorskite","Palygorskite","Heulandite","Phillipsite","Heulandite(CaKNa)-Zeo19","Ripidolite-7A","Heulandite(Na)-Zeo19","Ferroaluminoceladonite","Heulandite(Na)-Zeo19","Heulandite(Na)-Zeo19"
"Phillipsite","Ripidolite-7A","Ripidolite-7A","Palygorskite","Palygorskite","Palygorskite","Ripidolite-14A","Ripidolite-7A","Smectite-high-Fe-Mg","Ripidolite-14A","Phillipsite(Ca)-Zeo19","Saponite-Ca","Smectite_Reykjanes","Palygorskite","Phillipsite","Saponite-K","Phillipsite","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Heulandite(CaKNa)-Zeo19","Ripidolite-14A","Phillipsite(Na)-Zeo19","Saponite-H","Smectite-low-Fe-Mg","Ripidolite-7A","Phillipsite(KNa)-Zeo19","Phillipsite(Na)-Zeo19","Smectite-high-Fe-Mg","Phillipsite(K)-Zeo19","Palygorskite","Phillipsite(Ca)-Zeo19","Phillipsite(KNa)-Zeo19","Phillipsite(K)-Zeo19","Phillipsite(Ca)-Zeo19","Phillipsite","Palygorskite","Palygorskite","Smectite-high-Fe-Mg","Saponite-H","Ripidolite-14A","Ripidolite-14A","Phillipsite(K)-Zeo19","Saponite-Mg","Ripidolite-7A","Phillipsite(Na)-Zeo19","Ripidolite-14A","Smectite-high-Fe-Mg","Ripidolite-14A","Phillipsite(Na)-Zeo19","Phillipsite(Ca)-Zeo19","Heulandite","Saponite-K","Smectite-high-Fe-Mg","Ripidolite-7A","Saponite-Mg","Smectite-high-Fe-Mg","Phillipsite(K)-Zeo19","Ripidolite-14A","Heulandite","Palygorskite","Phillipsite","Palygorskite","Saponite-H","Phillipsite(KNa)-Zeo19","Saponite-Na","Saponite-K","Saponite-Ca","Palygorskite","Smectite-high-Fe-Mg","Smectite_Reykjanes","Phillipsite(K)-Zeo19","Saponite-H","Phillipsite(Ca)-Zeo19","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Phillipsite(Ca)-Zeo19","Saponite-H","Smectite-high-Fe-Mg","Phillipsite(KNa)-Zeo19","Phillipsite","Saponite-H","Heulandite","Phillipsite(K)-Zeo19","Ripidolite-14A","Saponite-Na","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Palygorskite","Ripidolite-14A","Ripidolite-14A","Ripidolite-7A","Saponite-Mg","Ripidolite-14A","Phillipsite(Na)-Zeo19","Saponite-Ca","Ripidolite-14A","Heulandite","Saponite-Mg","Palygorskite"
"Smectite-high-Fe-Mg","Saponite-K","Saponite-Ca","Phillipsite(Na)-Zeo19","Ripidolite-7A","Smectite-low-Fe-Mg","Saponite-Ca","Saponite-Na","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-14A","Smectite-high-Fe-Mg","Stilbite","Phillipsite(K)-Zeo19","Saponite-H","Smectite-high-Fe-Mg","Saponite-Ca","Smectite-low-Fe-Mg","Smectite_Reykjanes","Phillipsite(KNa)-Zeo19","Saponite-Ca","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Saponite-Mg","Ripidolite-14A","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Ripidolite-14A","Phillipsite(KNa)-Zeo19","Saponite-H","Ripidolite-14A","Ripidolite-7A","Saponite-H","Saponite-Ca","Saponite-Na","Ripidolite-14A","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Saponite-Na","Ripidolite-7A","Saponite-Ca","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-14A","Palygorskite","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Saponite-Ca","Phillipsite","Ripidolite-14A","Smectite-high-Fe-Mg","Ripidolite-7A","Smectite-low-Fe-Mg","Ripidolite-7A","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-7A","Smectite-low-Fe-Mg","Stilbite(CaKNa)-Zeo19","Saponite-K","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite_Reykjanes","Smectite-low-Fe-Mg","Ripidolite-14A","Smectite-high-Fe-Mg","Smectite_Reykjanes","Ripidolite-14A","Ripidolite-7A","Smectite-high-Fe-Mg","Ripidolite-14A","Ripidolite-7A","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Saponite-K","Saponite-Na","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Saponite-Ca","Saponite-K","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Palygorskite","Smectite-low-Fe-Mg","Phillipsite(Na)-Zeo19"
"Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Stilbite","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite-high-Fe-Mg","Saponite-H","Smectite-low-Fe-Mg","Smectite_Reykjanes","Saponite-Mg","Saponite-K","Smectite-high-Fe-Mg","Saponite-Mg","Saponite-K","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite_Reykjanes","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Saponite-H","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite_Reykjanes","Smectite_Reykjanes","Smectite-high-Fe-Mg","Ripidolite-14A","Saponite-H","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Saponite-Mg","Stilbite","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Stilbite(CaKNa)-Zeo19","","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Stilbite","Smectite_Reykjanes","Saponite-Mg","Smectite_Reykjanes","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Saponite-Ca","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Saponite-Ca","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Stilbite","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Stilbite(CaKNa)-Zeo19","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Ripidolite-14A","Smectite_Reykjanes","Ripidolite-14A"
"Smectite_Reykjanes","Stilbite","Smectite_Reykjanes","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Talc","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Stilbite","","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Stilbite","Smectite_Reykjanes","","","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Stilbite","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite_Reykjanes","Smectite_Reykjanes","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Smectite_Reykjanes","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","Stilbite(CaKNa)-Zeo19","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite_Reykjanes","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Thomsonite-Zeo19","Smectite_Reykjanes","Smectite_Reykjanes","Smectite-low-Fe-Mg","","","Smectite-low-Fe-Mg","Stilbite(CaKNa)-Zeo19","Smectite_Reykjanes","","Talc","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Stilbite","","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite_Reykjanes","Thomsonite-Zeo19","Talc","Smectite-low-Fe-Mg","Stilbite","Stilbite(CaNa)-Zeo19","","Stilbite","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg"
"Stilbite","","Stilbite(CaKNa)-Zeo19","Smectite_Reykjanes","Talc","","Thomsonite-Zeo19","","","","Stilbite","Thomsonite-Zeo19","","Smectite_Reykjanes","Smectite_Reykjanes","","Stilbite(CaKNa)-Zeo19","","","Smectite_Reykjanes","Thomsonite-Zeo19","Thomsonite-Zeo19","","","Smectite_Reykjanes","Smectite-low-Fe-Mg","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","Smectite_Reykjanes","Smectite_Reykjanes","Stilbite(CaKNa)-Zeo19","Smectite_Reykjanes","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","","","","Thomsonite-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite","Talc","Stilbite","","Smectite_Reykjanes","","","","Thomsonite-Zeo19","","Talc","","Stilbite(CaKNa)-Zeo19","Smectite_Reykjanes","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","","Stilbite","","Stilbite(CaKNa)-Zeo19","Stilbite","Stilbite(CaKNa)-Zeo19","","","Smectite_Reykjanes","","Stilbite","","Thomsonite-Zeo19","Thomsonite-Zeo19","Stilbite(CaKNa)-Zeo19","","","Stilbite","Stilbite","Stilbite(CaKNa)-Zeo19","","Smectite_Reykjanes","Stilbite(CaKNa)-Zeo19","Stilbite","","","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19","","","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","","Smectite_Reykjanes"
