"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime"
"Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite"
"Chabazite","Celadonite","Chabazite-Zeo19","Chabazite","Celadonite","Chabazite","Chabazite-Zeo19","Chabazite","Celadonite","Celadonite","Chabazite","Chabazite","Celadonite","Celadonite","Celadonite","Celadonite","Chabazite","Celadonite","Celadonite","Celadonite","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Chabazite","Celadonite","Celadonite","Celadonite","Celadonite","Chabazite","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Chabazite","Chabazite","Chabazite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite","Chabazite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Celadonite","Celadonite","Chabazite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Chabazite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite"
"Heulandite(Ca)-Zeo19","Chabazite","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite","Heulandite(CaKNa)-Zeo19","Ferroaluminoceladonite","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite","Heulandite","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite","Chabazite-Zeo19","Heulandite","Heulandite","Ferroaluminoceladonite","Ferroaluminoceladonite","Heulandite","Heulandite","Ferroaluminoceladonite","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Ferroaluminoceladonite","Chabazite","Ferroaluminoceladonite","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Ferroaluminoceladonite","Chabazite","Chabazite","Heulandite(CaKNa)-Zeo19","Chabazite","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite","Ferroaluminoceladonite","Chabazite-Zeo19","Chabazite","Ferroaluminoceladonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite","Ferroaluminoceladonite","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite","Ferroaluminoceladonite","Heulandite(CaKNa)-Zeo19","Chabazite","Heulandite(CaKNa)-Zeo19","Ferroaluminoceladonite","Chabazite-Zeo19","Ferroaluminoceladonite","Chabazite-Zeo19"
"Saponite-Na","Heulandite(Ca)-Zeo19","Phillipsite(KNa)-Zeo19","Ripidolite-14A","Heulandite(Ca)-Zeo19","Smectite-high-Fe-Mg","Heulandite(Ca)-Zeo19","Saponite-K","Heulandite(CaKNa)-Zeo19","Heulandite","Ripidolite-14A","Ripidolite-7A","Ferroaluminoceladonite","Heulandite","Heulandite(CaKNa)-Zeo19","Heulandite","Saponite-Na","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Ripidolite-7A","Phillipsite(K)-Zeo19","Phillipsite(KNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite","Phillipsite(K)-Zeo19","Phillipsite","Heulandite","Heulandite","Saponite-Ca","Phillipsite","Heulandite","Phillipsite(KNa)-Zeo19","Heulandite","Ferroaluminoceladonite","Ferroaluminoceladonite","Heulandite","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite","Phillipsite(KNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite","Heulandite(Ca)-Zeo19","Heulandite","Heulandite","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Phillipsite(KNa)-Zeo19","Heulandite","Heulandite","Heulandite","Phillipsite(K)-Zeo19","Heulandite(Ca)-Zeo19","Phillipsite(K)-Zeo19","Heulandite","Heulandite(Ca)-Zeo19","Heulandite","Heulandite(Ca)-Zeo19","Heulandite","Ripidolite-7A","Smectite-high-Fe-Mg","Ripidolite-14A","Phillipsite(KNa)-Zeo19","Heulandite","Phillipsite(KNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Ripidolite-7A","Ripidolite-14A","Ferroaluminoceladonite","Heulandite","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Ripidolite-7A","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Ripidolite-14A","Heulandite","Ripidolite-14A","Heulandite","Heulandite","Heulandite(Ca)-Zeo19","Heulandite","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Saponite-H","Heulandite","Ripidolite-14A","Heulandite","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19"
"Smectite-high-Fe-Mg","Ripidolite-14A","Ripidolite-7A","Saponite-Na","Phillipsite(K)-Zeo19","Smectite-low-Fe-Mg","Phillipsite","Smectite-high-Fe-Mg","Phillipsite(KNa)-Zeo19","Ripidolite-7A","Smectite-high-Fe-Mg","Saponite-Ca","Heulandite(Ca)-Zeo19","Phillipsite(Na)-Zeo19","Phillipsite(K)-Zeo19","Phillipsite","Smectite-high-Fe-Mg","Phillipsite(Na)-Zeo19","Smectite-high-Fe-Mg","Phillipsite","Smectite-high-Fe-Mg","Ripidolite-14A","Smectite-high-Fe-Mg","Ripidolite-7A","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-14A","Phillipsite(Na)-Zeo19","Ripidolite-14A","Smectite-high-Fe-Mg","Saponite-Mg","Ripidolite-7A","Smectite-high-Fe-Mg","Phillipsite(K)-Zeo19","Heulandite","Heulandite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Phillipsite(KNa)-Zeo19","Ripidolite-7A","Phillipsite","Ripidolite-14A","Ripidolite-14A","Phillipsite(K)-Zeo19","Ripidolite-7A","Phillipsite(K)-Zeo19","Saponite-Na","Ripidolite-14A","Phillipsite(K)-Zeo19","Ripidolite-14A","Ripidolite-14A","Phillipsite(Na)-Zeo19","Phillipsite","Saponite-K","Ripidolite-14A","Phillipsite(K)-Zeo19","Ripidolite-7A","Phillipsite(Na)-Zeo19","Phillipsite","Phillipsite(KNa)-Zeo19","Phillipsite(K)-Zeo19","Smectite-high-Fe-Mg","Saponite-Na","Smectite-low-Fe-Mg","Saponite-H","Ripidolite-7A","Phillipsite","Saponite-Mg","Saponite-Mg","Saponite-K","Smectite-low-Fe-Mg","Heulandite","Phillipsite(K)-Zeo19","Phillipsite","Ripidolite-14A","Ripidolite-14A","Phillipsite(KNa)-Zeo19","Phillipsite(K)-Zeo19","Phillipsite(KNa)-Zeo19","Ripidolite-7A","Saponite-Na","Phillipsite(K)-Zeo19","Phillipsite(Na)-Zeo19","Smectite-high-Fe-Mg","Phillipsite","Smectite-high-Fe-Mg","Saponite-K","Phillipsite(Na)-Zeo19","Phillipsite(K)-Zeo19","Phillipsite","Ripidolite-14A","Saponite-K","Phillipsite(Na)-Zeo19","Phillipsite","Smectite-high-Fe-Mg","Phillipsite(K)-Zeo19","Saponite-H","Phillipsite(Na)-Zeo19","Phillipsite(K)-Zeo19","Ripidolite-14A","Smectite-high-Fe-Mg"
"Smectite_Reykjanes","Smectite-high-Fe-Mg","Saponite-H","Smectite-high-Fe-Mg","Saponite-Na","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Saponite-K","Saponite-Ca","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Phillipsite(K)-Zeo19","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Saponite-K","Smectite-low-Fe-Mg","Ripidolite-7A","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Saponite-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Saponite-K","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Saponite-K","Phillipsite(KNa)-Zeo19","Phillipsite(K)-Zeo19","Stilbite(CaNa)-Zeo19","Ripidolite-7A","Saponite-K","Ripidolite-7A","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-7A","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Saponite-Mg","Saponite-H","Saponite-H","Saponite-Mg","Ripidolite-7A","Ripidolite-7A","Smectite-high-Fe-Mg","Saponite-Ca","Ripidolite-7A","Smectite-high-Fe-Mg","Ripidolite-7A","Saponite-H","Saponite-K","Ripidolite-7A","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Saponite-K","Ripidolite-14A","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Ripidolite-14A","Ripidolite-14A","Saponite-K","Saponite-Na","Smectite-high-Fe-Mg","Ripidolite-7A","Ripidolite-14A","Saponite-K","Smectite-low-Fe-Mg","Ripidolite-14A","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Stilbite","Smectite-high-Fe-Mg","Saponite-H","Saponite-K","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Saponite-K","Ripidolite-14A","Smectite_Reykjanes","Ripidolite-7A","Smectite-low-Fe-Mg","Saponite-Na","Smectite-high-Fe-Mg","Saponite-Ca","Smectite-low-Fe-Mg"
"Stilbite","Stilbite","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Stilbite","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite_Reykjanes","Saponite-K","Smectite_Reykjanes","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Stilbite","Smectite-low-Fe-Mg","Stilbite","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite_Reykjanes","Smectite_Reykjanes","Smectite_Reykjanes","Smectite_Reykjanes","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Thomsonite-Zeo19","Saponite-K","Smectite-high-Fe-Mg","Saponite-Ca","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Saponite-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Saponite-Ca","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Saponite-H","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Saponite-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Saponite-H","Saponite-K","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Saponite-Na","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","Talc","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Saponite-H","Stilbite(CaNa)-Zeo19","Saponite-K","Stilbite","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Stilbite"
"","Talc","Smectite-low-Fe-Mg","Stilbite","Stilbite","","Stilbite","","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","Smectite_Reykjanes","Smectite_Reykjanes","Stilbite","Smectite-low-Fe-Mg","Stilbite","Smectite-high-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","","Smectite_Reykjanes","","Stilbite","","Talc","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","Smectite_Reykjanes","Smectite_Reykjanes","","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Stilbite","Smectite_Reykjanes","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite","Smectite_Reykjanes","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Stilbite","Smectite-low-Fe-Mg","Smectite_Reykjanes","Stilbite","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","","Stilbite","Talc","Stilbite","Smectite_Reykjanes","Smectite-low-Fe-Mg","Stilbite","Stilbite","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Stilbite","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite_Reykjanes","Stilbite","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Stilbite","Smectite-high-Fe-Mg","Stilbite","","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Stilbite","Smectite_Reykjanes","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","Smectite_Reykjanes","","Smectite-high-Fe-Mg","Thomsonite-Zeo19","Smectite_Reykjanes","Smectite_Reykjanes","Smectite-low-Fe-Mg","Thomsonite-Zeo19"
"","","Smectite_Reykjanes","","Thomsonite-Zeo19","","Talc","","Thomsonite-Zeo19","Thomsonite-Zeo19","","Stilbite","Stilbite","Stilbite(CaNa)-Zeo19","","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Stilbite","","Stilbite(CaNa)-Zeo19","","Stilbite(CaNa)-Zeo19","","","","Thomsonite-Zeo19","Thomsonite-Zeo19","Talc","Thomsonite-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19","","","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite","","Smectite_Reykjanes","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","","","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","","Stilbite","Stilbite(CaNa)-Zeo19","","Smectite-low-Fe-Mg","Stilbite","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","","Thomsonite-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Smectite_Reykjanes","Thomsonite-Zeo19","Thomsonite-Zeo19","","","","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite","Thomsonite-Zeo19","Thomsonite-Zeo19","Smectite_Reykjanes","Smectite_Reykjanes","Stilbite(CaNa)-Zeo19","","Stilbite","","","Thomsonite-Zeo19","","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","","Thomsonite-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","","Smectite-low-Fe-Mg","","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite",""
