"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime"
"Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite"
"Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Celadonite"
"Heulandite(Na)-Zeo19","Heulandite","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite","Heulandite(Ca)-Zeo19","Heulandite","Chabazite-Zeo19","Heulandite","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Heulandite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Heulandite","Heulandite(Ca)-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite","Chabazite-Zeo19","Heulandite","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite","Chabazite-Zeo19","Heulandite","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Na)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19"
"Phillipsite(Na)-Zeo19","Nontronite-Cs","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Nontronite-Cs","Ripidolite-7A","Saponite-Mg","Heulandite(Ca)-Zeo19","Phillipsite(KNa)-Zeo19","Ripidolite-14A","Heulandite(Na)-Zeo19","Ripidolite-14A","Heulandite(Ca)-Zeo19","Heulandite","Heulandite(CaKNa)-Zeo19","Phillipsite(KNa)-Zeo19","Heulandite","Nontronite-Cs","Nontronite-Cs","Phillipsite(Na)-Zeo19","Heulandite","Heulandite","Nontronite-Cs","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Nontronite-Cs","Saponite-K","Heulandite","Heulandite","Heulandite","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Phillipsite(KNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Nontronite-Cs","Ripidolite-14A","Heulandite(CaKNa)-Zeo19","Nontronite-Cs","Phillipsite(Ca)-Zeo19","Phillipsite(K)-Zeo19","Ripidolite-14A","Heulandite(Ca)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Ca)-Zeo19","Saponite-Na","Heulandite(Ca)-Zeo19","Phillipsite(Na)-Zeo19","Heulandite(Na)-Zeo19","Nontronite-Cs","Ripidolite-14A","Heulandite(Na)-Zeo19","Phillipsite(KNa)-Zeo19","Phillipsite(KNa)-Zeo19","Heulandite","Smectite-high-Fe-Mg","Heulandite(Ca)-Zeo19","Ripidolite-14A","Heulandite","Smectite-high-Fe-Mg","Heulandite(Ca)-Zeo19","Nontronite-Cs","Nontronite-Cs","Heulandite(Ca)-Zeo19","Nontronite-Cs","Saponite-H","Nontronite-Cs","Heulandite(Ca)-Zeo19","Heulandite(Na)-Zeo19","Phillipsite(KNa)-Zeo19","Heulandite","Heulandite(Na)-Zeo19","Heulandite(Na)-Zeo19","Nontronite-Cs","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Phillipsite(KNa)-Zeo19","Nontronite-Cs","Heulandite(Ca)-Zeo19","Nontronite-Cs","Heulandite(Ca)-Zeo19","Heulandite","Nontronite-Cs","Heulandite","Phillipsite(Na)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Phillipsite(Ca)-Zeo19","Saponite-Na","Phillipsite(KNa)-Zeo19","Smectite-high-Fe-Mg","Nontronite-Cs","Heulandite(Ca)-Zeo19","Phillipsite(K)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Phillipsite(KNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Na)-Zeo19"
"Ripidolite-14A","Ripidolite-7A","Saponite-K","Phillipsite(Na)-Zeo19","Phillipsite(KNa)-Zeo19","Saponite-Mg","Smectite-high-Fe-Mg","Nontronite-Cs","Ripidolite-14A","Saponite-Na","Phillipsite(KNa)-Zeo19","Saponite-Na","Phillipsite(KNa)-Zeo19","Phillipsite(K)-Zeo19","Ripidolite-14A","Smectite-high-Fe-Mg","Phillipsite(K)-Zeo19","Ripidolite-14A","Ripidolite-14A","Smectite-high-Fe-Mg","Saponite-Ca","Phillipsite(Na)-Zeo19","Ripidolite-7A","Phillipsite(KNa)-Zeo19","Smectite-high-Fe-Mg","Ripidolite-7A","Smectite-high-Fe-Mg","Saponite-Na","Phillipsite(Na)-Zeo19","Ripidolite-7A","Nontronite-Cs","Nontronite-Cs","Saponite-Na","Phillipsite(K)-Zeo19","Phillipsite(Ca)-Zeo19","Smectite-high-Fe-Mg","Nontronite-Cs","Ripidolite-14A","Saponite-Na","Smectite-high-Fe-Mg","Saponite-Cs","Phillipsite(Na)-Zeo19","Nontronite-Cs","Ripidolite-7A","Smectite-high-Fe-Mg","Phillipsite(Ca)-Zeo19","Ripidolite-14A","Ripidolite-14A","Ripidolite-7A","Smectite-high-Fe-Mg","Phillipsite(Na)-Zeo19","Saponite-K","Ripidolite-14A","Phillipsite(KNa)-Zeo19","Smectite-low-Fe-Mg","Ripidolite-14A","Saponite-Na","Nontronite-Cs","Smectite-low-Fe-Mg","Saponite-Ca","Ripidolite-7A","Phillipsite(Ca)-Zeo19","Saponite-Mg","Ripidolite-7A","Smectite-high-Fe-Mg","Ripidolite-7A","Phillipsite(Ca)-Zeo19","Ripidolite-14A","Ripidolite-7A","Ripidolite-14A","Ripidolite-7A","Ripidolite-14A","Ripidolite-14A","Phillipsite(Na)-Zeo19","Saponite-Na","Ripidolite-14A","Ripidolite-14A","Ripidolite-7A","Ripidolite-7A","Ripidolite-7A","Phillipsite(Na)-Zeo19","Saponite-H","Ripidolite-7A","Ripidolite-14A","Phillipsite(K)-Zeo19","Phillipsite(Ca)-Zeo19","Smectite-low-Fe-Mg","Ripidolite-14A","Smectite-high-Fe-Mg","Ripidolite-14A","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Phillipsite(K)-Zeo19","Ripidolite-7A","Phillipsite(Na)-Zeo19","Ripidolite-7A","Ripidolite-14A","Phillipsite(KNa)-Zeo19","Smectite-high-Fe-Mg","Phillipsite(K)-Zeo19"
"Saponite-Cs","Saponite-H","Smectite-high-Fe-Mg","Ripidolite-14A","Ripidolite-14A","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Phillipsite(Na)-Zeo19","Saponite-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-7A","Saponite-Ca","Smectite-low-Fe-Mg","Ripidolite-7A","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-14A","Saponite-K","Ripidolite-7A","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-14A","Smectite-low-Fe-Mg","Phillipsite(Na)-Zeo19","Phillipsite(Na)-Zeo19","Smectite-high-Fe-Mg","Ripidolite-14A","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Saponite-Mg","Saponite-Na","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-7A","Phillipsite(Na)-Zeo19","Saponite-K","Smectite-low-Fe-Mg","Ripidolite-7A","Saponite-Mg","Saponite-Ca","Saponite-Ca","Smectite-low-Fe-Mg","Ripidolite-14A","Smectite-high-Fe-Mg","Saponite-Ca","Ripidolite-14A","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Phillipsite(Na)-Zeo19","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Saponite-Ca","Saponite-Cs","Smectite-high-Fe-Mg","Saponite-Na","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Ripidolite-14A","Saponite-K","Smectite-high-Fe-Mg","Saponite-Ca","Smectite-high-Fe-Mg","Saponite-K","Saponite-Na","Saponite-Ca","Smectite-high-Fe-Mg","Saponite-H","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Saponite-H","Saponite-H","Ripidolite-7A","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Saponite-K","Ripidolite-7A","Ripidolite-14A","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Saponite-K","Stilbite","Smectite-low-Fe-Mg","Ripidolite-14A","Saponite-Na","Ripidolite-7A","Saponite-Na","Saponite-H","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Ripidolite-14A"
"Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Stilbite(CaKNa)-Zeo19","Saponite-Na","Saponite-K","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Ripidolite-7A","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Saponite-K","Smectite-high-Fe-Mg","Stilbite","Smectite-high-Fe-Mg","Stilbite(CaKNa)-Zeo19","Smectite-low-Fe-Mg","Stilbite(CaKNa)-Zeo19","Smectite-low-Fe-Mg","Saponite-Cs","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Stilbite(CaKNa)-Zeo19","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Stilbite(CaNa)-Zeo19","Ripidolite-14A","Ripidolite-14A","Stilbite(CaNa)-Zeo19","Saponite-Cs","Smectite-low-Fe-Mg","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Stilbite","Smectite-low-Fe-Mg","Saponite-Cs","Saponite-H","Smectite-high-Fe-Mg","Stilbite","Saponite-Cs","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Stilbite(CaNa)-Zeo19","Saponite-Na","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Ripidolite-7A","Thomsonite-Zeo19","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Stilbite(CaKNa)-Zeo19","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Saponite-H","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Saponite-K","Smectite-high-Fe-Mg","Thomsonite-Zeo19","Smectite-low-Fe-Mg","Stilbite","Smectite-high-Fe-Mg","Talc","Stilbite","Saponite-H","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Stilbite(CaNa)-Zeo19","Stilbite","Saponite-Ca"
"Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Stilbite","Thomsonite-Zeo19","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Stilbite(CaKNa)-Zeo19","Stilbite","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Talc","Stilbite","","Stilbite","Talc","Stilbite(CaKNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Stilbite","Talc","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Talc","Smectite-high-Fe-Mg","Saponite-Cs","","Smectite-high-Fe-Mg","Stilbite","Thomsonite-Zeo19","Stilbite(CaKNa)-Zeo19","Smectite-low-Fe-Mg","Stilbite","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Thomsonite-Zeo19","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Thomsonite-Zeo19","Smectite-high-Fe-Mg","Stilbite(CaKNa)-Zeo19","Stilbite","Smectite-low-Fe-Mg","","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Saponite-Mg","","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite","Stilbite","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","Smectite-low-Fe-Mg","Stilbite","Stilbite","Stilbite","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Stilbite","Stilbite","Stilbite(CaNa)-Zeo19","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","","Stilbite(CaKNa)-Zeo19","","Smectite-low-Fe-Mg","Thomsonite-Zeo19","Talc","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","","","Smectite-high-Fe-Mg"
"Stilbite","Thomsonite-Zeo19","","Stilbite","Smectite-low-Fe-Mg","","","Stilbite","Stilbite(CaKNa)-Zeo19","","","","","Smectite-low-Fe-Mg","Stilbite(CaNa)-Zeo19","","Talc","","Talc","","Thomsonite-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Talc","","Thomsonite-Zeo19","","","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","","Stilbite(CaNa)-Zeo19","","","Thomsonite-Zeo19","Stilbite","Thomsonite-Zeo19","","","Smectite-low-Fe-Mg","Stilbite","Stilbite","","Smectite-low-Fe-Mg","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite","","Stilbite","","","Stilbite(CaKNa)-Zeo19","","","Thomsonite-Zeo19","Smectite-high-Fe-Mg","","Thomsonite-Zeo19","Thomsonite-Zeo19","","","Thomsonite-Zeo19","","Talc","Thomsonite-Zeo19","Thomsonite-Zeo19","Talc","Stilbite(CaNa)-Zeo19","","Thomsonite-Zeo19","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","","","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","","Thomsonite-Zeo19","","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","","Talc","","Stilbite(CaKNa)-Zeo19","","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite","Stilbite","Stilbite","","","Stilbite(CaNa)-Zeo19"
