"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime"
"Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite"
"Chabazite","Chabazite","Chabazite","Celadonite-Mg","Chabazite-Zeo19","Celadonite-Fe","Celadonite-Mg","Celadonite-Mg","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite","Celadonite-Mg","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Celadonite-Mg","Celadonite-Mg","Chabazite-Zeo19","Celadonite-Mg","Chabazite","Chabazite-Zeo19","Chabazite","Celadonite-Mg","Chabazite","Celadonite-Fe","Celadonite-Fe","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite-Fe","Chabazite-Zeo19","Chabazite","Chabazite","Celadonite-Fe","Celadonite-Mg","Chabazite","Chabazite","Chabazite","Chabazite","Celadonite-Mg","Celadonite-Fe","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite-Mg","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite","Chabazite","Celadonite-Fe","Chabazite","Celadonite-Mg","Chabazite","Chabazite","Chabazite","Chabazite","Chabazite","Celadonite-Mg","Celadonite-Mg","Celadonite-Mg","Chabazite","Chabazite-Zeo19","Celadonite-Mg","Chabazite","Celadonite-Mg","Chabazite","Celadonite-Mg","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite","Chabazite","Celadonite-Mg","Chabazite","Celadonite-Mg","Celadonite-Mg","Chabazite","Chabazite-Zeo19","Celadonite-Mg","Celadonite-Mg","Chabazite-Zeo19","Celadonite-Fe","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite-Fe","Chabazite","Chabazite","Chabazite"
"Heulandite_Ca","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Glauconite","Celadonite-Mg","Chabazite","Chabazite","Heulandite_Ca","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite","Glauconite","Heulandite(Ca)-Zeo19","Glauconite","Heulandite_Ca","Heulandite_Ca","Chabazite-Zeo19","Chabazite","Heulandite(Ca)-Zeo19","Chabazite","Heulandite(Ca)-Zeo19","Heulandite_Ca","Glauconite","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Glauconite","Heulandite_Ca","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite_Ca","Heulandite(Ca)-Zeo19","Glauconite","Celadonite-Mg","Chabazite","Heulandite_Ca","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite","Glauconite","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite_Ca","Heulandite(CaKNa)-Zeo19","Heulandite_Ca","Heulandite_Ca","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Celadonite-Mg","Heulandite_Ca","Chabazite","Heulandite_Ca","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Chabazite","Heulandite_Ca","Chabazite-Zeo19","Heulandite_Ca","Chabazite","Heulandite(Ca)-Zeo19","Heulandite_Ca","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite","Chabazite-Zeo19","Glauconite","Heulandite(CaKNa)-Zeo19","Chabazite","Chabazite","Heulandite(Ca)-Zeo19","Chabazite","Heulandite_Ca","Glauconite","Chabazite","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite_Ca"
"HMontmorillonite-HCMg","Phillipsite(Na)-Zeo19","HMontmorillonite-HCNa","Heulandite_Ca","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","HSaponite-FeNa","HMontmorillonite-HCNa","HSaponite-FeCa","HMontmorillonite-HCK","Heulandite_Ca","Heulandite(Ca)-Zeo19","HSaponite-FeMg","Heulandite(Ca)-Zeo19","Montmorillonite-HCNa","HMontmorillonite-HCNa","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","HSaponite-FeK","Heulandite(Ca)-Zeo19","HMontmorillonite-HCMg","HMontmorillonite-HCNa","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","HMontmorillonite-HCNa","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","HSaponite-FeMg","HMontmorillonite-HCCa","HMontmorillonite-HCMg","Heulandite(Ca)-Zeo19","HSaponite-FeCa","HSaponite-FeMg","HSaponite-FeK","Heulandite(Ca)-Zeo19","HSaponite-FeCa","HSaponite-FeNa","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Heulandite_Ca","HSaponite-Ca","HSaponite-FeCa","HSaponite-FeMg","HMontmorillonite-HCK","Heulandite_Ca","Heulandite_Ca","Heulandite(CaKNa)-Zeo19","HMontmorillonite-HCCa","HSaponite-FeNa","HSaponite-FeCa","HSaponite-FeK","Heulandite_Ca","HSaponite-FeCa","HMontmorillonite-HCMg","HSaponite-FeMg","HMontmorillonite-HCNa","HMontmorillonite-HCNa","HSaponite-FeK","HVermiculite-Ca","Chabazite","HMontmorillonite-HCNa","Heulandite(CaKNa)-Zeo19","HNontronite-K","HSaponite-FeNa","HSaponite-FeCa","HMontmorillonite-HCNa","HMontmorillonite-HCK","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","HSaponite-FeMg","HMontmorillonite-HCNa","Heulandite_Ca","HMontmorillonite-HCCa","Heulandite_Ca","HMontmorillonite-HCNa","Heulandite(CaKNa)-Zeo19","HSaponite-FeCa","HMontmorillonite-HCMg","HMontmorillonite-HCMg","HMontmorillonite-HCMg","HSaponite-FeMg","Heulandite_Ca","HSaponite-FeCa","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite_Ca","HMontmorillonite-HCK","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","HSaponite-FeK","Heulandite(Ca)-Zeo19","HMontmorillonite-HCNa","Heulandite(CaKNa)-Zeo19","Heulandite_Ca","HMontmorillonite-HCCa","HMontmorillonite-HCMg","HSaponite-FeCa"
"HSaponite-FeCa","Saponite-FeCa","HSaponite-Ca","HNontronite-K","HSaponite-FeK","Heulandite_Ca","HSaponite-FeNa","HSaponite-FeCa","Montmorillonite-HCCa","HSaponite-FeCa","HSaponite-FeK","HSaponite-FeNa","Montmorillonite-HCNa","HSaponite-FeK","HSaponite-FeNa","HMontmorillonite-HCCa","Phillipsite(KNa)-Zeo19","HSaponite-FeK","HSaponite-FeMg","HSaponite-FeMg","HVermiculite-Ca","HSaponite-FeNa","HSaponite-FeCa","HSaponite-FeK","HSaponite-FeK","HMontmorillonite-HCK","HSaponite-FeCa","HSaponite-FeK","HMontmorillonite-HCNa","Phillipsite(Na)-Zeo19","HSaponite-FeK","Nontronite-K","HMontmorillonite-HCK","Montmorillonite-HCMg","Saponite-FeMg","HSaponite-K","HVermiculite-Ca","Montmorillonite-HCNa","Phillipsite(Na)-Zeo19","Montmorillonite-HCMg","Heulandite(Ca)-Zeo19","HMontmorillonite-HCK","HSaponite-FeNa","Montmorillonite-HCMg","HSaponite-FeNa","HSaponite-FeCa","HSaponite-FeCa","HSaponite-FeCa","HSaponite-FeNa","HSaponite-FeNa","HVermiculite-Ca","HSaponite-FeK","Montmorillonite-HCMg","HSaponite-FeCa","HSaponite-Mg","HSaponite-FeK","HSaponite-FeNa","Saponite-FeCa","HSaponite-FeMg","HSaponite-FeNa","Phillipsite(KNa)-Zeo19","Heulandite(CaKNa)-Zeo19","HSaponite-K","HMontmorillonite-HCK","Saponite-FeCa","Phillipsite(K)-Zeo19","HSaponite-FeK","HSaponite-FeK","HSaponite-FeCa","HMontmorillonite-HCMg","HSaponite-Na","HSaponite-Ca","Nontronite-K","HSaponite-FeCa","Montmorillonite-HCCa","HNontronite-K","HMontmorillonite-HCNa","HSaponite-FeCa","HVermiculite-Ca","HSaponite-FeK","HSaponite-Mg","HSaponite-FeCa","HSaponite-FeMg","HSaponite-FeNa","HSaponite-FeK","HSaponite-FeK","HSaponite-FeMg","HSaponite-FeK","HMontmorillonite-HCNa","HSaponite-FeK","HMontmorillonite-HCMg","HMontmorillonite-HCK","Montmorillonite-HCMg","HMontmorillonite-HCK","HSaponite-FeCa","HMontmorillonite-HCNa","HSaponite-FeK","HSaponite-FeMg","HVermiculite-Ca","Nontronite-K"
"Phillipsite(KNa)-Zeo19","Saponite-FeNa","HSaponite-FeNa","Saponite_SapCa(4.151H2O)","HSaponite-FeMg","HSaponite-FeMg","Montmorillonite-HCMg","HSaponite-FeMg","Saponite-FeCa","Phillipsite(KNa)-Zeo19","Saponite-FeMg","HVermiculite-Ca","Saponite_SapCa","HSaponite-FeMg","HVermiculite-Ca","HSaponite-FeCa","Saponite-FeK","Nontronite-K","Montmorillonite-HCMg","HSaponite-FeNa","Phillipsite(Na)-Zeo19","Montmorillonite-HCCa","HSaponite-FeK","HSaponite-FeMg","HVermiculite-Ca","Saponite-FeCa","HSaponite-FeK","Phillipsite(K)-Zeo19","Phillipsite(K)-Zeo19","Saponite-FeK","HSaponite-FeNa","Phillipsite(Na)-Zeo19","HSaponite-FeCa","Saponite-FeCa","Saponite_SapCa(4.151H2O)","Saponite-FeK","Saponite-FeNa","Saponite_SapCa(4.151H2O)","Saponite-FeK","Saponite-FeK","HSaponite-FeK","HSaponite-FeK","Montmorillonite-HCK","Saponite-FeK","Phillipsite(Na)-Zeo19","HSaponite-FeNa","Montmorillonite-HCK","HSaponite-FeK","Montmorillonite-HCCa","Saponite-FeNa","Montmorillonite-HCK","Montmorillonite-HCK","Phillipsite_Na","Montmorillonite-HCMg","HVermiculite-Ca","HSaponite-FeMg","Montmorillonite-HCK","Saponite-FeK","HSaponite-FeNa","Montmorillonite-HCCa","Saponite-FeCa","HSaponite-FeCa","Phillipsite(K)-Zeo19","HSaponite-FeCa","Saponite-FeMg","Saponite-FeK","Montmorillonite-HCMg","HSaponite-FeNa","HSaponite-Mg","HSaponite-FeMg","Montmorillonite-HCNa","HSaponite-FeNa","Phillipsite(KNa)-Zeo19","HSaponite-FeK","Nontronite-K","HSaponite-FeK","HSaponite-FeMg","Phillipsite(KNa)-Zeo19","Montmorillonite-HCMg","HSaponite-FeNa","Saponite-FeMg","Saponite-FeK","Saponite-FeCa","HVermiculite-Ca","HSaponite-FeNa","HSaponite-FeMg","HSaponite-FeNa","HSaponite-FeMg","HSaponite-FeCa","HSaponite-FeMg","HSaponite-FeMg","Phillipsite(KNa)-Zeo19","Saponite-FeMg","HSaponite-Na","Saponite-FeK","HSaponite-FeCa","HSaponite-FeMg","HSaponite-Na","Saponite-FeMg","Saponite-FeCa"
"Stilbite","SmectiteMX80","Saponite-FeMg","Smectite_MX80(3.989H2O)","Montmorillonite-HCK","Phillipsite(Na)-Zeo19","Saponite-FeNa","Saponite-Ca","Saponite-FeK","Saponite-FeCa","Saponite_SapCa(4.151H2O)","Saponite-FeNa","Stilbite","Smectite_MX80(5.189H2O)","Smectite_MX80(5.189H2O)","Saponite-FeNa","Saponite-FeMg","Saponite-Ca","Montmorillonite-HCNa","Phillipsite(K)-Zeo19","Saponite-FeNa","Saponite-FeCa","Phillipsite(Na)-Zeo19","HSaponite-FeNa","Montmorillonite-HCK","Saponite-FeNa","Phillipsite_Na","Saponite-FeCa","Saponite-FeMg","Saponite-FeNa","Saponite-FeCa","Saponite-FeCa","Saponite-FeK","Saponite-FeK","Smectite_MX80(3.989H2O)","Saponite_SapCa(4.151H2O)","SmectiteMX80","Stilbite","Saponite-FeMg","Saponite-FeMg","Montmorillonite-HCK","Phillipsite(KNa)-Zeo19","Saponite-FeK","Saponite-FeMg","Saponite-FeNa","Nontronite-K","Phillipsite(KNa)-Zeo19","Smectite_MX80(5.189H2O)","Phillipsite(Na)-Zeo19","Stilbite(CaNa)-Zeo19","Saponite-FeNa","Phillipsite_Na","Saponite-FeCa","Saponite-FeMg","Montmorillonite-HCNa","Saponite_SapCa","Montmorillonite-HCMg","Saponite-FeNa","Phillipsite(K)-Zeo19","Montmorillonite-HCMg","Saponite-FeMg","Phillipsite_Na","Saponite-FeK","HSaponite-FeK","Smectite_MX80(5.189H2O)","Saponite-FeNa","Saponite-FeCa","Phillipsite_Na","Saponite-FeK","Saponite_SapCa","Phillipsite(K)-Zeo19","Phillipsite(K)-Zeo19","Saponite-Ca","Phillipsite(KNa)-Zeo19","Phillipsite(K)-Zeo19","HSaponite-FeMg","Phillipsite_Na","Saponite-FeMg","Phillipsite(Na)-Zeo19","Montmorillonite-HCNa","Saponite-FeNa","Saponite-FeMg","Saponite-FeMg","SmectiteMX80","Montmorillonite-HCK","HSaponite-Mg","Montmorillonite-HCK","Montmorillonite-HCNa","Saponite-FeMg","HSaponite-FeNa","Phillipsite(KNa)-Zeo19","Saponite-FeNa","Saponite-FeNa","Phillipsite_Na","Stilbite","HSaponite-FeNa","HSaponite-FeNa","Phillipsite(K)-Zeo19","Stilbite","SmectiteMX80"
"Thomsonite-Zeo19","Stilbite","Stilbite","Stilbite(CaNa)-Zeo19","Phillipsite(Na)-Zeo19","Saponite-Na","Stilbite","Smectite_MX80(3.989H2O)","Saponite-FeNa","Saponite-FeMg","SmectiteMX80","Stilbite","Vermiculite_SO","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Saponite_SapCa(4.151H2O)","Saponite-FeCa","Stilbite","Smectite_MX80(3.989H2O)","Saponite_SapCa(4.151H2O)","Stilbite","Saponite-FeK","Saponite-FeMg","Phillipsite(KNa)-Zeo19","Stilbite","Saponite-FeMg","Saponite-Mg","Saponite_SapCa","Smectite_MX80(5.189H2O)","Saponite-Na","Saponite-FeMg","Saponite-FeNa","SmectiteMX80","Stilbite(CaNa)-Zeo19","SmectiteMX80","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Smectite_MX80(5.189H2O)","Saponite-FeNa","Stilbite(CaNa)-Zeo19","Saponite-FeNa","Saponite-FeMg","SmectiteMX80","Smectite_MX80(5.189H2O)","Phillipsite(K)-Zeo19","Saponite-FeCa","Stilbite(CaNa)-Zeo19","Saponite-FeCa","Thomsonite-Zeo19","Saponite-Mg","Saponite-FeCa","Saponite-FeMg","Stilbite","Saponite-FeNa","Stilbite(CaNa)-Zeo19","Saponite-FeNa","Saponite-K","Saponite-Ca","Phillipsite(K)-Zeo19","Saponite_SapCa","Saponite-FeMg","Saponite-FeMg","Phillipsite(Na)-Zeo19","Stilbite(CaNa)-Zeo19","Smectite_MX80(5.189H2O)","Saponite-K","Saponite-FeCa","Saponite-FeMg","Stilbite(CaNa)-Zeo19","Saponite-FeMg","Smectite_MX80(3.989H2O)","Saponite-FeK","Saponite-FeK","Saponite-FeK","Phillipsite(KNa)-Zeo19","Saponite-K","Stilbite(CaNa)-Zeo19","Saponite-FeK","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite","Montmorillonite-HCK","Phillipsite_Na","Phillipsite_Na","Stilbite","Phillipsite_Na","Saponite-FeNa","Saponite_SapCa(4.151H2O)","Smectite_MX80(5.189H2O)","Saponite-FeNa","Thomsonite-Zeo19","Stilbite","Phillipsite(Na)-Zeo19","Saponite-FeK","Vermiculite-Ca","Stilbite(CaNa)-Zeo19"
"Vermiculite-Ca","Vermiculite-Ca","Thomsonite-Zeo19","Vermiculite_SO","Saponite-FeCa","Smectite_MX80(3.989H2O)","Vermiculite_SO","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite","","","Thomsonite-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19","Stilbite","Stilbite","Thomsonite-Zeo19","Stilbite","SmectiteMX80","Talc","Saponite-FeMg","Stilbite(CaNa)-Zeo19","Saponite-FeNa","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Smectite_MX80(5.189H2O)","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite","Saponite-FeNa","Stilbite","Stilbite","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Vermiculite-Ca","Vermiculite-Ca","Stilbite(CaNa)-Zeo19","Stilbite","Vermiculite_SO","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Saponite_SapCa(4.151H2O)","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","","Stilbite(CaNa)-Zeo19","Saponite-FeK","Saponite-K","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Saponite_SapCa","Saponite-FeK","Smectite_MX80(3.989H2O)","Smectite_MX80(3.989H2O)","Saponite_SapCa","Saponite-FeCa","","Stilbite","Stilbite(CaNa)-Zeo19","Saponite-Mg","Stilbite(CaNa)-Zeo19","Talc","Saponite-FeNa","Stilbite","Smectite_MX80(5.189H2O)","Stilbite","Saponite_SapCa(4.151H2O)","Stilbite","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Saponite_SapCa(4.151H2O)","Thomsonite-Zeo19","Thomsonite-Zeo19","","Thomsonite-Zeo19","","Vermiculite_SO","Phillipsite_Na","Saponite-Na","Saponite-FeNa","Thomsonite-Zeo19","Saponite-Na","SmectiteMX80","Stilbite(CaNa)-Zeo19","Stilbite","Saponite_SapCa(4.151H2O)","","Vermiculite_SO","SmectiteMX80","Saponite-FeNa","","Thomsonite-Zeo19"
