"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime","Analcime(Si-Al_is_2.0)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime(Si-Al_is_2.5)-Zeo19","Analcime"
"Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite"
"Celadonite","Celadonite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite","Celadonite","Chabazite","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite-Zeo19","Celadonite","Chabazite","Chabazite-Zeo19","Celadonite(Fe)","Celadonite(Fe)","Chabazite","Celadonite","Celadonite","Celadonite","Chabazite","Celadonite","Celadonite(Fe)","Chabazite","Celadonite","Celadonite","Chabazite","Chabazite","Chabazite-Zeo19","Celadonite","Chabazite","Celadonite","Chabazite-Zeo19","Chabazite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Celadonite","Chabazite","Celadonite","Chabazite","Celadonite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Celadonite","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite(Fe)","Celadonite(Fe)","Chabazite","Chabazite","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Chabazite","Celadonite","Celadonite","Chabazite","Celadonite(Fe)","Chabazite-Zeo19","Celadonite","Celadonite(Fe)","Chabazite-Zeo19","Celadonite","Chabazite","Celadonite","Chabazite-Zeo19","Celadonite","Celadonite","Celadonite(Fe)","Celadonite","Celadonite","Celadonite","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Celadonite","Celadonite","Chabazite","Chabazite-Zeo19","Celadonite"
"Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Chabazite","Heulandite(Na)","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite","Heulandite(Ca)","Heulandite(Na)-Zeo19","Heulandite(Na)","Heulandite(Ca)","Heulandite(CaKNa)-Zeo19","Chabazite","Edenite(alpha)","Edenite(alpha)","Chabazite","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Chabazite-Zeo19","Chabazite-Zeo19","Chabazite","Heulandite(CaKNa)-Zeo19","Chabazite","Chabazite-Zeo19","Edenite(alpha)","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Edenite(alpha)","Heulandite(Na)-Zeo19","Chabazite","Edenite(alpha)","Chabazite","Glauconite","Glauconite","Chabazite","Celadonite(Fe)","Chabazite","Chabazite","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite","Chabazite-Zeo19","Celadonite(Fe)","Heulandite(Ca)-Zeo19","Chabazite","Heulandite(CaKNa)-Zeo19","Chabazite","Chabazite","Glauconite","Chabazite","Chabazite","Chabazite","Edenite(alpha)","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Na)","Heulandite(Na)","Heulandite(Na)","Heulandite(Ca)","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(Ca)","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Na)","Heulandite(CaKNa)-Zeo19","Edenite(alpha)","Chabazite-Zeo19","Chabazite","Heulandite(Ca)","Chabazite-Zeo19","Edenite(alpha)","Chabazite-Zeo19","Chabazite","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Glauconite","Chabazite-Zeo19","Heulandite(Ca)-Zeo19","Chabazite","Chabazite-Zeo19","Chabazite","Chabazite","Chabazite-Zeo19","Chabazite","Edenite(alpha)","Glauconite","Glauconite","Chabazite-Zeo19","Chabazite-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)","Chabazite-Zeo19"
"Heulandite(CaKNa)-Zeo19","Heulandite(Na)","Heulandite(Ca)","Heulandite(CaKNa)-Zeo19","Saponite(FeCa)","Heulandite(Na)-Zeo19","Heulandite(Ca)-Zeo19","Montmorillonite(HcNa)","Heulandite(Ca)","Nontronite(K)","Montmorillonite(HcCa)","Phillipsite(Ca)-Zeo19","Montmorillonite(HcCa)","Montmorillonite(HcMg)","Heulandite(Na)-Zeo19","Glauconite","Heulandite(Ca)","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Montmorillonite(HcCa)","Heulandite(Na)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(CaKNa)-Zeo19","Montmorillonite(HcNa)","Heulandite(CaKNa)-Zeo19","Edenite(alpha)","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Montmorillonite(HcMg)","Heulandite(Na)","Montmorillonite(HcCa)","Glauconite","Glauconite","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)","Edenite(alpha)","Chabazite","Heulandite(Ca)","Heulandite(Ca)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Na)-Zeo19","Edenite(alpha)","Glauconite","Heulandite(Ca)-Zeo19","Chabazite-Zeo19","Phillipsite(Na)-Zeo19","Heulandite(Ca)","Montmorillonite(HcCa)","Heulandite(Ca)","Heulandite(Ca)","Heulandite(Na)-Zeo19","Edenite(alpha)","Heulandite(Na)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Montmorillonite(HcMg)","Montmorillonite(HcCa)","Montmorillonite(HcNa)","Phillipsite(Na)-Zeo19","Montmorillonite(HcNa)","Montmorillonite(HcMg)","Edenite(alpha)","Heulandite(Ca)-Zeo19","Montmorillonite(HcMg)","Saponite(FeK)","Heulandite(Na)-Zeo19","Montmorillonite(HcK)","Montmorillonite(HcMg)","Montmorillonite(HcK)","Montmorillonite(HcMg)","Montmorillonite(HcMg)","Glauconite","Heulandite(Ca)-Zeo19","Edenite(alpha)","Phillipsite(Ca)-Zeo19","Heulandite(Ca)-Zeo19","Heulandite(Ca)","Heulandite(Na)","Heulandite(Ca)","Nontronite(K)","Heulandite(Ca)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Montmorillonite(HcNa)","Heulandite(Ca)","Glauconite","Heulandite(Ca)","Heulandite(Na)-Zeo19","Edenite(alpha)","Heulandite(Na)","Heulandite(CaKNa)-Zeo19","Heulandite(Na)","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Heulandite(Ca)-Zeo19","Nontronite(K)","Montmorillonite(HcNa)","Edenite(alpha)"
"Montmorillonite(HcNa)","Saponite(FeCa)","Montmorillonite(HcK)","Montmorillonite(HcNa)","Saponite(FeK)","Saponite(FeMg)","Montmorillonite(HcMg)","Phillipsite(Na)","Phillipsite(Na)","Saponite(Ca)","Saponite(FeK)","Saponite(FeMg)","Montmorillonite(HcMg)","Phillipsite(Ca)-Zeo19","Saponite(FeCa)","Heulandite(Na)-Zeo19","Montmorillonite(HcCa)","Phillipsite(Ca)-Zeo19","Saponite(FeK)","Saponite(FeCa)","Phillipsite(KNa)-Zeo19","Phillipsite(Na)","Montmorillonite(HcK)","Phillipsite(Na)-Zeo19","Phillipsite(Na)-Zeo19","Heulandite(Na)","Saponite(FeNa)","Montmorillonite(HcMg)","Montmorillonite(HcK)","Phillipsite(KNa)-Zeo19","Montmorillonite(HcMg)","Phillipsite(KNa)-Zeo19","Heulandite(CaKNa)-Zeo19","Heulandite(Ca)-Zeo19","Montmorillonite(HcCa)","Montmorillonite(HcMg)","Montmorillonite(HcNa)","Heulandite(CaKNa)-Zeo19","Heulandite(Na)-Zeo19","Montmorillonite(HcMg)","Montmorillonite(HcK)","Montmorillonite(HcMg)","Montmorillonite(HcMg)","Heulandite(Na)","Heulandite(Na)","Saponite(FeK)","Heulandite(Na)-Zeo19","Saponite(FeMg)","Phillipsite(K)-Zeo19","Montmorillonite(HcMg)","Montmorillonite(HcCa)","Phillipsite(K)-Zeo19","Montmorillonite(HcK)","Heulandite(Ca)","Montmorillonite(HcK)","Saponite(FeK)","Nontronite(K)","Phillipsite(KNa)-Zeo19","Phillipsite(KNa)-Zeo19","Phillipsite(Na)","Saponite(FeCa)","Phillipsite(Na)-Zeo19","Montmorillonite(HcNa)","Heulandite(Ca)","Montmorillonite(HcCa)","Nontronite(K)","Saponite(Mg)","Montmorillonite(HcNa)","Phillipsite(KNa)-Zeo19","Saponite(FeCa)","Saponite(FeK)","Phillipsite(Ca)-Zeo19","Nontronite(K)","Heulandite(Ca)-Zeo19","Montmorillonite(HcNa)","Heulandite(Na)-Zeo19","Saponite(FeK)","Montmorillonite(HcCa)","Montmorillonite(HcNa)","Montmorillonite(HcNa)","Montmorillonite(HcK)","Saponite(FeCa)","Montmorillonite(HcMg)","Montmorillonite(HcMg)","Saponite(FeMg)","Phillipsite(KNa)-Zeo19","Montmorillonite(HcNa)","Heulandite(Na)-Zeo19","Phillipsite(Ca)-Zeo19","Saponite(FeCa)","Heulandite(Ca)","Montmorillonite(HcK)","Saponite(FeMg)","Phillipsite(Ca)-Zeo19","Saponite(FeMg)","Phillipsite(Na)","Montmorillonite(HcK)","Phillipsite(KNa)-Zeo19","Saponite(FeK)","Heulandite(CaKNa)-Zeo19"
"Phillipsite(Na)","Smectite(MX80)","Saponite(FeMg)","Saponite(Ca)","Saponite(FeNa)","Smectite(MX80:5.189H2O)","Saponite(FeNa)","Saponite(FeCa)","Saponite(FeK)","Saponite(FeCa)","Saponite(FeMg)","Saponite(FeNa)","Saponite(FeK)","Saponite(FeCa)","Saponite(FeK)","Phillipsite(Na)-Zeo19","Phillipsite(KNa)-Zeo19","Saponite(FeCa)","Saponite(FeMg)","Saponite(FeMg)","Saponite(FeMg)","Saponite(FeK)","Phillipsite(K)-Zeo19","Saponite(FeCa)","Saponite(FeK)","Phillipsite(Ca)-Zeo19","Saponite(SapCa)","Nontronite(K)","Phillipsite(K)-Zeo19","Saponite(FeMg)","Saponite(FeMg)","Saponite(FeK)","Montmorillonite(HcNa)","Montmorillonite(HcCa)","Phillipsite(Ca)-Zeo19","Saponite(FeK)","Phillipsite(Na)-Zeo19","Montmorillonite(HcMg)","Saponite(FeCa)","Saponite(FeCa)","Phillipsite(Na)-Zeo19","Phillipsite(Na)-Zeo19","Phillipsite(Na)","Montmorillonite(HcNa)","Montmorillonite(HcK)","Saponite(FeNa)","Montmorillonite(HcMg)","Saponite(FeNa)","Saponite(FeCa)","Saponite(FeMg)","Saponite(Ca)","Saponite(FeCa)","Saponite(FeMg)","Montmorillonite(HcMg)","Saponite(FeCa)","Saponite(FeMg)","Saponite(FeCa)","Saponite(FeCa)","Saponite(FeK)","Saponite(FeCa)","Saponite(FeK)","Saponite(FeK)","Phillipsite(K)-Zeo19","Montmorillonite(HcCa)","Phillipsite(Ca)-Zeo19","Phillipsite(Na)","Saponite(SapCa)","Phillipsite(K)-Zeo19","Saponite(FeCa)","Saponite(SapCa)","Saponite(FeMg)","Saponite(FeCa)","Saponite(FeCa)","Montmorillonite(HcCa)","Saponite(FeCa)","Montmorillonite(HcMg)","Saponite(FeMg)","Saponite(FeCa)","Saponite(FeCa)","Saponite(FeK)","Phillipsite(Ca)-Zeo19","Saponite(FeK)","Saponite(FeCa)","Phillipsite(K)-Zeo19","Smectite(MX80:5.189H2O)","Saponite(FeCa)","Phillipsite(Ca)-Zeo19","Phillipsite(Na)","Saponite(FeCa)","Saponite(FeMg)","Montmorillonite(HcNa)","Saponite(FeMg)","Saponite(FeNa)","Saponite(FeCa)","Saponite(Na)","Saponite(FeCa)","Phillipsite(K)-Zeo19","Saponite(Ca)","Saponite(FeMg)","Saponite(FeCa)"
"Saponite(FeCa)","Stilbite","Saponite(FeNa)","Saponite(FeMg)","Smectite(MX80:5.189H2O)","Stilbite(CaKNa)-Zeo19","Saponite(Na)","Saponite(FeMg)","Smectite(MX80)","Saponite(FeK)","Stilbite(CaNa)-Zeo19","Smectite(MX80:5.189H2O)","Saponite(FeMg)","Saponite(FeMg)","Smectite(MX80:3.989H2O)","Saponite(FeK)","Saponite(FeCa)","Saponite(FeMg)","Saponite(FeNa)","Saponite(FeNa)","Smectite(MX80)","Saponite(FeNa)","Saponite(FeK)","Saponite(FeNa)","Saponite(FeMg)","Saponite(FeK)","Smectite(MX80:3.989H2O)","Saponite(FeMg)","Saponite(FeMg)","Saponite(FeNa)","Saponite(FeNa)","Saponite(FeMg)","Phillipsite(Ca)-Zeo19","Phillipsite(KNa)-Zeo19","Saponite(FeMg)","Saponite(FeNa)","Saponite(FeK)","Phillipsite(KNa)-Zeo19","Saponite(SapCa)","Saponite(Na)","Saponite(FeMg)","Saponite(FeK)","Saponite(Ca)","Stilbite(CaKNa)-Zeo19","Saponite(Ca)","Smectite(MX80:3.989H2O)","Phillipsite(Na)-Zeo19","Smectite(MX80:3.989H2O)","Smectite(MX80:3.989H2O)","Saponite(FeNa)","Saponite(FeCa)","Saponite(FeNa)","Saponite(FeNa)","Phillipsite(Ca)-Zeo19","Saponite(FeMg)","Smectite(MX80:5.189H2O)","Saponite(FeNa)","Saponite(FeK)","Saponite(FeMg)","Saponite(FeK)","Saponite(FeMg)","Saponite(FeMg)","Saponite(FeCa)","Saponite(FeCa)","Saponite(FeNa)","Saponite(FeK)","Smectite(MX80:5.189H2O)","Saponite(FeCa)","Saponite(FeMg)","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Saponite(FeK)","Saponite(Na)","Saponite(FeCa)","Saponite(FeMg)","Montmorillonite(HcNa)","Saponite(Na)","Saponite(FeNa)","Saponite(FeMg)","Stilbite(CaKNa)-Zeo19","Saponite(FeCa)","Saponite(FeNa)","Saponite(FeK)","Saponite(FeCa)","Stilbite(CaNa)-Zeo19","Saponite(FeK)","Saponite(FeMg)","Saponite(FeK)","Saponite(FeMg)","Saponite(FeNa)","Nontronite(K)","Saponite(FeNa)","Smectite(MX80)","Saponite(FeK)","Smectite(MX80)","Saponite(Na)","Saponite(FeCa)","Saponite(FeMg)","Saponite(SapCa)","Smectite(MX80:5.189H2O)"
"Saponite(FeK)","Thomsonite-Zeo19","Saponite(SapCa)","Saponite(SapCa)","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","Stilbite","Saponite(K)","Stilbite(CaKNa)-Zeo19","Smectite(MX80:5.189H2O)","","Stilbite","Stilbite(CaNa)-Zeo19","Saponite(FeNa)","Stilbite(CaNa)-Zeo19","Saponite(K)","Saponite(FeMg)","Smectite(MX80:3.989H2O)","Smectite(MX80:3.989H2O)","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Smectite(MX80:5.189H2O)","Saponite(FeNa)","Stilbite","Saponite(FeNa)","Saponite(FeNa)","Stilbite","Stilbite","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Saponite(FeMg)","Saponite(FeMg)","Saponite(FeNa)","Saponite(Na)","Saponite(FeNa)","Saponite(FeCa)","Smectite(MX80:5.189H2O)","Stilbite(CaNa)-Zeo19","Saponite(FeNa)","Smectite(MX80)","Saponite(FeMg)","VermiculiteSO","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Saponite(FeCa)","Stilbite(CaKNa)-Zeo19","Stilbite","Saponite(SapCa)","Saponite(FeMg)","Smectite(MX80)","Saponite(SapCa)","Saponite(FeCa)","Saponite(Na)","Stilbite","Smectite(MX80:3.989H2O)","Saponite(FeNa)","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Smectite(MX80:5.189H2O)","Saponite(SapCa)","Saponite(FeMg)","Stilbite(CaNa)-Zeo19","Saponite(K)","Saponite(Mg)","Stilbite(CaNa)-Zeo19","Saponite(FeK)","Saponite(K)","Thomsonite-Zeo19","","Stilbite","Stilbite(CaKNa)-Zeo19","Saponite(FeNa)","Saponite(FeNa)","Phillipsite(Na)-Zeo19","Smectite(MX80:3.989H2O)","Stilbite","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","Saponite(FeK)","Smectite(MX80:5.189H2O)","Stilbite","Saponite(SapCa)","Thomsonite-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","Saponite(FeNa)","Smectite(MX80)","Smectite(MX80:5.189H2O)","Saponite(FeNa)","Stilbite(CaNa)-Zeo19","Stilbite","Saponite(FeMg)","Stilbite(CaNa)-Zeo19","Smectite(MX80:5.189H2O)","Saponite(FeNa)","Smectite(MX80)","Stilbite(CaNa)-Zeo19","Stilbite"
"Saponite(K)","Vermiculite(Ca)","Stilbite","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","Vermiculite(Ca)","Thomsonite-Zeo19","Stilbite","Talc","Stilbite(CaKNa)-Zeo19","","Thomsonite-Zeo19","VermiculiteSO","Saponite(Mg)","Thomsonite-Zeo19","Smectite(MX80:3.989H2O)","Saponite(SapCa)","Stilbite","Stilbite(CaKNa)-Zeo19","","Talc","Stilbite","Saponite(SapCa)","","Smectite(MX80:5.189H2O)","Smectite(MX80)","","Thomsonite-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite","Stilbite","Stilbite","Stilbite(CaNa)-Zeo19","VermiculiteSO","Saponite(SapCa)","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","","VermiculiteSO","","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","VermiculiteSO","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Stilbite(CaNa)-Zeo19","Saponite(FeMg)","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","","Vermiculite(Ca)","Stilbite","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Thomsonite-Zeo19","Stilbite","Saponite(SapCa)","","","Vermiculite(Ca)","Thomsonite-Zeo19","Stilbite","Stilbite(CaNa)-Zeo19","Saponite(FeNa)","Stilbite(CaNa)-Zeo19","Talc","","Vermiculite(Ca)","Saponite(Na)","Stilbite(CaNa)-Zeo19","","Stilbite(CaNa)-Zeo19","VermiculiteSO","Talc","Talc","Smectite(MX80)","Stilbite","Stilbite(CaKNa)-Zeo19","Stilbite(CaKNa)-Zeo19","","Thomsonite-Zeo19","Smectite(MX80:3.989H2O)","Thomsonite-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaNa)-Zeo19","Stilbite(CaKNa)-Zeo19","Thomsonite-Zeo19","Thomsonite-Zeo19"
