O	Na	Mg	Al	Si	K	Ca	Ti	Fe
3.114	0.074	0.044	0.46	1.003	0.055	0.089	0	0.197
3.065	0.045	0.213	0.341	0.918	0.051	0.163	0.037	0.194
3.39	0.102	0.082	0.373	1.014	0.033	0.287	0.03	0.209
2.823	0.099	0.054	0.213	0.955	0.008	0.21	0.009	0.239
2.653	0.015	0.047	0.23	0.95	0.064	0.181	0.003	0.09
3.011	0.033	0.146	0.355	0.998	0.051	0.206	0.016	0.044
3.102	0.117	0.069	0.425	0.919	0.012	0.14	0.043	0.203
2.796	0.087	0.119	0.268	0.924	0.043	0.113	0.013	0.206
3.305	0.071	0.017	0.347	1.024	0.018	0.312	0.032	0.204
2.618	0.088	0.082	0.203	0.96	0.017	0.223	0.013	0.007
2.98	0.044	0.137	0.424	0.926	0.064	0.109	0.009	0.146
2.954	0.085	0.123	0.317	0.968	0.02	0.155	0.025	0.143
2.828	0.143	0.095	0.395	0.926	0.044	0.032	0.017	0.108
2.784	0.088	0.097	0.178	0.989	0.044	0.153	0.026	0.115
3.171	0.095	0.123	0.351	0.925	0.081	0.323	0	0.205
3.09	0.044	0.102	0.362	0.981	0.009	0.274	0	0.131
2.941	0.156	0.041	0.322	1.01	0.05	0.195	0.039	0.015
3.045	0.09	0.071	0.246	1.056	0.055	0.197	0	0.188
2.849	0.052	0.029	0.191	0.95	0.056	0.159	0.032	0.259
3.372	0.071	0.162	0.373	1.018	0.046	0.181	0.021	0.302
2.85	0.096	0.074	0.366	0.905	0.047	0.09	0.014	0.22
2.908	0.056	0.07	0.229	0.988	0.055	0.214	0.04	0.132
2.991	0.077	0.037	0.285	0.911	0.067	0.257	0.032	0.296
3.218	0.132	0.168	0.382	1.011	0.041	0.228	0.025	0.088
2.919	0.106	0.088	0.279	0.978	0.019	0.07	0.011	0.208
3.15	0.112	0.117	0.367	0.918	0.034	0.309	0.025	0.177
3.031	0.123	0.121	0.325	1.024	0.031	0.228	0	0.068
2.967	0.073	0.148	0.362	0.933	0.028	0.193	0.048	0.047
3.087	0.061	0.161	0.311	1.04	0.057	0.263	0.021	0.01
3.134	0.149	0.178	0.375	0.961	0.048	0.18	0.009	0.159
2.983	0.009	0.044	0.339	1.052	0.044	0.152	0.01	0.102
2.906	0.021	0.105	0.427	1.001	0.018	0.14	0	0
3.206	0.083	0.062	0.379	0.966	0.033	0.311	0.042	0.146
2.593	0.134	0.054	0.3	0.92	0.032	0.038	0.033	0.06
2.959	0.111	0.117	0.325	0.973	0.036	0.144	0.028	0.091
3.098	0.033	0.138	0.364	1.03	0.024	0.126	0.015	0.139
3.099	0.06	0.163	0.459	0.928	0.027	0.185	0.01	0.117
3.48	0.12	0.151	0.474	1.102	0.029	0.248	0.001	0.082
2.98	0.113	0.107	0.39	0.952	0.022	0.208	0.044	0.016
2.817	0.115	0.076	0.275	0.993	0.024	0.254	0.009	0
2.596	0.11	0.082	0.212	0.943	0.016	0.23	0	0.015
2.846	0.064	0.103	0.223	0.971	0.076	0.255	0.02	0.093
2.977	0.059	0.119	0.378	0.906	0.047	0.174	0	0.174
2.821	0.122	0.176	0.209	1.005	0.042	0.149	0	0.067
2.964	0.09	0.111	0.432	0.992	0.029	0.087	0.006	0.053
2.898	0.149	0.09	0.361	0.973	0.033	0.186	0.009	0.023
3.215	0.167	0.19	0.344	0.946	0.03	0.277	0.004	0.19
2.937	0.091	0.098	0.326	0.981	0.057	0.2	0.028	0.04
2.909	0.087	0	0.317	0.971	0.049	0.246	0.019	0.095
3.151	0.054	0.168	0.3	0.949	0.018	0.276	0.023	0.222
2.955	0.114	0.102	0.297	0.993	0.049	0.149	0	0.181
3.206	0.052	0.144	0.412	1.019	0	0.111	0.016	0.174
3.143	0.074	0.122	0.485	0.991	0.036	0.095	0.048	0.046
3.008	0.056	0.128	0.371	1.031	0.055	0.121	0	0.07
3.016	0.079	0.081	0.425	0.891	0.061	0.164	0.031	0.15
