Na	K	Ca	Mg	C(4)	Alkalinity_CO3_2	S(6)_SO4_2	Cl	Fe	F	Si_SiO2	pH
0.009859186	0.34463905	0.225241497	0.23327444	0.394442762	0.11192941	0.002073653	0.009367518	0.011113154	0.016011992	0.674370726	5.330080518
0.00288577	0.340201812	0.316608416	0.292876442	0.365197214	0.110532263	0.002846398	0.047822069	0.010742957	0.005927535	0.55052255	8.240762394
0.004148678	0.310244766	0.294667344	0.373984604	0.299837112	0.200662549	0.002265537	0.012288909	0.015740861	0.005674609	0.529918512	7.888101131
0.00905531	0.399364575	0.399354242	0.216814628	0.354838663	0.139664062	0.00206153	0.034713176	0.03797054	0.016782324	0.450314968	9.016667303
0.007410237	0.397793586	0.239158296	0.24770945	0.400553875	0.148183121	0.004407988	0.033009331	0.04244597	0.015315594	0.567862434	8.245486827
0.003857497	0.34696162	0.236499081	0.254816869	0.584387699	0.216520989	0.005329956	0.013263839	0.005054235	0.011069523	0.443061441	8.284996574
0.008791828	0.301697491	0.26948768	0.33736137	0.383283353	0.236191811	0.004775852	0.057269396	0.013889834	0.008702142	0.522512932	7.061509782
0.00300686	0.471284049	0.241631394	0.267990706	0.433361632	0.227071024	0.004690172	0.008757024	0.012311311	0.01106866	0.509387318	9.193480385
0.007548037	0.452488852	0.211213177	0.219279918	0.523098744	0.181976526	0.003750968	0.03465484	0.014238179	0.013812075	0.530111528	6.660246868
0.006705873	0.347605746	0.35568068	0.290504422	0.505967907	0.189459909	0.005444858	0.026796927	0.006244674	0.0084626	0.468645863	8.105884995
0.008247327	0.401319808	0.215628254	0.345196	0.506091489	0.251544513	0.003772886	0.011255854	0.025786286	0.008836986	0.448495024	8.288388348
0.003201125	0.435928152	0.252446028	0.458663785	0.362905122	0.111596848	0.003535275	0.045270768	0.017956395	0.01820032	0.527392221	7.075992908
0.005890202	0.441942716	0.34123594	0.279594708	0.496992713	0.144595541	0.004920484	0.028443353	0.031735816	0.011598005	0.492962326	5.747931884
0.005400281	0.341787282	0.249631934	0.175372166	0.594553516	0.092515363	0.004220003	0.032153142	0.050012889	0.010740223	0.723892802	8.19291525
0.013493033	0.303330261	0.275511866	0.300286999	0.592322369	0.220510439	0.00254646	0.078094707	0.007392039	0.019334166	0.500027953	6.715415233
0.009414399	0.347670563	0.341148725	0.428466605	0.437328824	0.209816395	0.003897691	0.031256168	0.016690846	0.027807606	0.496209443	6.580193517
0.005933801	0.277223432	0.337744329	0.595824904	0.381473452	0.129291625	0.004291378	0.021515632	0.007376327	0.010751701	0.59422357	7.710842617
0.003700611	0.411911735	0.258987962	0.280924867	0.688927718	0.137441926	0.003832405	0.036450493	0.023752663	0.0191793	0.504598566	8.283860549
0.008922675	0.355792795	0.292442301	0.342061738	0.554750512	0.164696478	0.005689158	0.071302218	0.005669568	0.01128414	0.562545797	8.261436721
0.004077651	0.406610619	0.376464736	0.34226287	0.421787649	0.248666752	0.002767826	0.012618426	0.005445439	0.011267649	0.602943605	7.633346503
0.015019467	0.414932664	0.352270148	0.289227013	0.562243553	0.205388279	0.004603577	0.014392997	0.006831517	0.01218214	0.5688066	5.938322208
0.006837438	0.333365912	0.339445359	0.22623994	0.648766244	0.229545057	0.003633574	0.049700552	0.004589916	0.026372678	0.601818577	8.190914023
0.020792148	0.515946505	0.3254714	0.356134084	0.401014062	0.176462567	0.003331429	0.043422156	0.049842939	0.01095585	0.572357802	6.051332496
0.003087877	0.39735686	0.288041553	0.293937664	0.588099408	0.158642631	0.007094498	0.077241755	0.050073943	0.024281547	0.588962006	7.448955374
0.004838706	0.342125226	0.240781633	0.499854211	0.50891281	0.308606182	0.007116315	0.019282446	0.019636061	0.006339779	0.533493896	6.98751911
0.008869104	0.492714495	0.3872947	0.376824478	0.412381045	0.122815351	0.005358365	0.124705094	0.005952374	0.034347505	0.534891669	6.920918014
0.006050875	0.544487292	0.292505412	0.409326411	0.482323732	0.158044882	0.006885714	0.016304493	0.011008846	0.00840612	0.588301892	5.873546216
0.003383224	0.394704263	0.364338473	0.439654149	0.683955247	0.15340735	0.004355092	0.010202916	0.022124146	0.010451426	0.455544654	6.977155239
0.012277479	0.58418171	0.277301938	0.307401065	0.676164013	0.138607799	0.005464933	0.023432549	0.023112707	0.007628594	0.519395154	5.499583416
0.013892468	0.527263376	0.262109092	0.505694616	0.552191088	0.16073877	0.007999449	0.010813659	0.042525065	0.010299298	0.494212442	5.212709592
0.014648291	0.517443988	0.303870095	0.256795015	0.815700758	0.191102028	0.005407172	0.021701355	0.006353332	0.006155309	0.54675681	7.789988281
