	Thin Section	Site	Spectrum Label	O	Na	Mg	Al	Si	P	Cl	K	S	Ca	Ti	Cr	V	Mn	Fe	Cu	Ag	Co	Ba	Eu	La	Ce	Pr	Nd	Sm	W	Mixture with quartz	Cluster_1	Mineral name 1	Mineral name 2
1	15_Zone 1	2	3	66.16	0	0	0	29.67	0	0	0	2.06	0.2	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	Yes			
2	15_Zone 1	3	2	57.7	0	0	0	26.15	0	0	0	7.33	0	0	0	0	0	0	0	0	0	8.82	0	0	0	0	0	0	0	Yes			
3	15_Zone 1	3	1	55.8	0	0	0	27.24	0	0	0	7.65	0	0	0	0	0	0	0	0	0	9.31	0	0	0	0	0	0	0	Yes			
4	15_Zone 1	3	4	63.21	0	0	0	13.89	0	0	0	10.84	12.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes			
5	15_Zone 1	3	5	65.79	0	0	0	6.38	0	0	0	12.99	14.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes			
6	15_Zone 1	3	3	69.71	0	0	0	3.78	0	0	0	13.26	13.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes			
7	15_Zone 1	2	1	65.66	0	0	0	34.25	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
8	15_Zone 1	2	3	65.35	0	0	0	34.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
9	15_Zone 1	4	1	65.57	0	0	0.59	33.77	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
10	15_Zone 1	4	2	59.2	0	0	0	2.97	0	0	0	0	0	0	0	0	0	37.82	0	0	0	0	0	0	0	0	0	0	0	0			
11	15_Zone 1	4	3	58.13	0	0	0.56	3.89	0	0	0.17	0	0.35	0	0	0	0.27	36.64	0	0	0	0	0	0	0	0	0	0	0	0			
12	15_Zone 1	4	4	58.46	0	0	0	6.91	0	0	0.34	0	0.31	0	0	0	0	33.99	0	0	0	0	0	0	0	0	0	0	0	0			
13	15_Zone 1	4	5	55.17	0	3.6	2.38	25.48	0	0.17	4.4	0	0.37	0	0	0	0	8.42	0	0	0	0	0	0	0	0	0	0	0	0			
14	15_Zone 1	4	6	66.24	0	0	0	33.12	0	0	0.18	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0			
15	15_Zone 1	4	7	66.65	0	3.83	1.29	19.72	0	0	3.48	0	0	0	0	0	0	5.04	0	0	0	0	0	0	0	0	0	0	0	0			
16	15_Zone 1	4	8	66.39	0	0	0.47	32.9	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0			
17	15_Zone 1	4	9	62.99	0	0.74	0.77	27.74	0	0	0.6	0	0.17	0.48	0	0	0	6.51	0	0	0	0	0	0	0	0	0	0	0	0			
18	15_Zone 1	4	10	59.6	0	0	0	17.96	0	0	0.43	0	0.13	0	13.16	0	0	0.54	8.19	0	0	0	0	0	0	0	0	0	0	0			
19	15_Zone 1	5	1	65.69	0	0	0.42	33.74	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
20	15_Zone 1	5	2	58.6	0	0	0.55	3.27	0	0	0	0	0.25	0	0	0	0.67	36.66	0	0	0	0	0	0	0	0	0	0	0	0			
21	15_Zone 1	5	3	57.72	0	0.78	6.67	31.72	0	0	0.57	0	2.37	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0			
22	15_Zone 1	5	4_Resin	52.09	0	0.93	6.7	34.73	0	2.62	0.46	0	2.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
23	15_Zone 1	5	5_Resin	61	0	0.84	5.75	26.93	0	3.73	0	0	1.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
24	15_Zone 1	5	6	58.1	0	0	2.25	8.35	0	0.12	0	0	0.41	0	0	0	0.29	30.47	0	0	0	0	0	0	0	0	0	0	0	0			
25	15_Zone 1	6	1	65.77	0	0	0	33.54	0	0	0.12	0	0.27	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0			
26	15_Zone 1	6	2	59.34	8.92	1.31	0	20.29	0	0	0	0	1.09	0.79	0	0	0	8.26	0	0	0	0	0	0	0	0	0	0	0	0			
27	15_Zone 1	6	3	53.56	0	5.4	0	1.47	0	0	0	0	0	0.59	0	0	4.29	30.65	4.04	0	0	0	0	0	0	0	0	0	0	0			
28	15_Zone 1	6	4	62.11	0	2.96	2.88	22.17	0	0	1.76	0	0.74	0	0	0	0	7.37	0	0	0	0	0	0	0	0	0	0	0	0			
29	15_Zone 1	6	5	65.33	0	0.84	5.92	25.76	0	0.07	0.34	0	1.56	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0			
30	15_Zone 1	6	6	59.42	7.33	2.29	0.26	21.09	0	0	0	0	2.04	0.42	0	0	0	7.14	0	0	0	0	0	0	0	0	0	0	0	0			
31	15_Zone 1	6	7	59.22	5.45	3.15	0.58	22.34	0	0	0.15	0	2.56	0.34	0	0	0	6.21	0	0	0	0	0	0	0	0	0	0	0	0			
32	15_Zone 1	6	8	58.86	3.47	5.66	0.49	19.98	0	0	0	0	5.09	0.29	0	0	0.12	6.03	0	0	0	0	0	0	0	0	0	0	0	0			
33	15_Zone 1	6	9	60.28	3.42	0.69	0.23	15.73	0	0	0	0	7.92	7.99	0	0	0	3.63	0	0	0	0	0.12	0	0	0	0	0	0	0			
34	15_Zone 1	7	1	65.91	0	0	0	33.47	0	0.22	0	0	0.11	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0			
35	15_Zone 1	7	2	59.19	4.51	4.96	0.52	19.94	0	0	4.02	0	0.39	0	0	0	0	6.47	0	0	0	0	0	0	0	0	0	0	0	0			
36	15_Zone 1	7	3	58.61	0	0.72	0	0.23	0	0	0	0	2.87	0	0	0.17	0	37.41	0	0	0	0	0	0	0	0	0	0	0	0			
37	15_Zone 1	7	4	60.83	1.34	0	5.52	24.41	0	5.55	0	0	0.15	0	0	0	0	2.18	0	0	0	0	0	0	0	0	0	0	0	0			
38	15_Zone 1	7	5	60.24	0.68	6.78	0.58	19.76	0	0	4.46	0	0.17	0	0	0	0.15	7.17	0	0	0	0	0	0	0	0	0	0	0	0			
39	15_Zone 1	7	6	61.11	8.15	2.15	0.5	18.77	0	0	1.76	0	0.78	0	0	0	0	6.79	0	0	0	0	0	0	0	0	0	0	0	0			
40	15_Zone 2	2	1	61.56	0	0	0.71	0.47	0	0	0	0	0.13	7.33	0	0.35	0	29.45	0	0	0	0	0	0	0	0	0	0	0	0			
41	15_Zone 2	2	2	58.61	1.68	6.47	1.25	20.22	0	0	0	0	6.4	0.34	0	0	0	5.03	0	0	0	0	0	0	0	0	0	0	0	0			
42	15_Zone 2	2	3	59.76	0	3.71	1.26	22.9	0	0	4.8	0	0	0	0	0	0	7.58	0	0	0	0	0	0	0	0	0	0	0	0			
43	15_Zone 2	2	4	59.83	0	0	0.85	0.8	0	0	0	0	0.21	5.63	0	0.48	0.36	31.83	0	0	0	0	0	0	0	0	0	0	0	0			
44	15_Zone 2	2	5	59.37	2.76	5.3	1.33	20.05	0	0	0	0	5.49	0.38	0	0	0	5.31	0	0	0	0	0	0	0	0	0	0	0	0			
45	15_Zone 2	2	6	65.53	0	0	0	34.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
46	15_Zone 2	2	7	62.28	0	0	0	31.36	0	0	0	0	0.2	0.58	0	0	0	5.57	0	0	0	0	0	0	0	0	0	0	0	0			
47	15_Zone 2	2	8	58.11	1.42	0.77	4.37	8.27	0	0	0.28	0	2.8	0	0	0	21.25	2.06	0	0	0.33	0.35	0	0	0	0	0	0	0	0			
48	15_Zone 2	2	9	61.98	1.27	0	5.5	27.26	0	0	3.79	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0			
49	15_Zone 2	2	10	60.7	3.08	0	11.99	19.34	0	0	0.13	0	4.39	0	0	0	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0			
50	15_Zone 2	3	1	60.25	2.32	1.68	6.69	21.39	0	0	0.85	0	3.26	0.34	0	0	0	3.21	0	0	0	0	0	0	0	0	0	0	0	0			
51	20_Zone1	2	1	64.37	0	0	0	35.42	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0			
52	20_Zone1	2	2	63.66	0	0	1.29	33.97	0	0	0.49	0	0	0	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0			
53	20_Zone1	2	3	64.74	0	0	0.59	34.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
54	20_Zone1	2	4	62.75	0	0.38	0.85	34.72	0	0	0.25	0	0	0	0	0	0	1.05	0	0	0	0	0	0	0	0	0	0	0	0			
55	20_Zone1	2	5	58.71	0	0	1.17	8.6	0	0	0	0	0.21	0.69	0	0	0	30.62	0	0	0	0	0	0	0	0	0	0	0	0			
56	20_Zone1	2	6	56.21	0	0.64	4.76	11.26	0	0	1.95	0	0	0.92	0	0	0	24.27	0	0	0	0	0	0	0	0	0	0	0	0			
57	20_Zone1	2	7	38.58	0	0	0.33	0.45	0	0	0	0	0	0	0	0	0	60.64	0	0	0	0	0	0	0	0	0	0	0	0			
58	20_Zone1	2	8	58.57	0	0	0.38	0.46	0	0	0	0	0	0	0	0	0	40.59	0	0	0	0	0	0	0	0	0	0	0	0			
59	20_Zone1	2	9	66.04	0	0	1.58	3.34	0	0.13	0.17	0	0.16	0	0	0	0	28.59	0	0	0	0	0	0	0	0	0	0	0	0			
60	20_Zone1	2	10	63.2	0	3.78	8.18	18.97	0	0	0.32	0	1.64	0.14	0	0	0	3.78	0	0	0	0	0	0	0	0	0	0	0	0			
61	20_Zone1	2	11	57.53	0.69	6	0.8	20.78	0	0	0	0	6.57	0.27	0	0	0	7.36	0	0	0	0	0	0	0	0	0	0	0	0			
62	20_Zone1	2	12	57.91	0	6.56	0.6	20.74	0	0	0	0	6.44	0	0	0	0	7.75	0	0	0	0	0	0	0	0	0	0	0	0			
63	20_Zone1	3	1	64.32	0	0	0	35.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
64	20_Zone1	3	2	59.04	0.49	0	8.1	25.15	0	0	6.91	0	0	0	0	0	0	0.17	0	0	0	0.15	0	0	0	0	0	0	0	0			
